detail_konut_tipi_raw,title_raw,duplex_type,is_duplex,is_roof_duplex,is_garden_duplex,is_middle_floor_duplex,is_standard_duplex,duplex_match_source,duplex_source_conflict,extraction_notes,classified_id
Çatı Dubleksi,BAŞİSKELE YEŞİLYURT MAH. ASANSÖRLÜ 3+1 ÇATI DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,,1298202529
Ara Kat,YEŞİLYURT MAH ARAKAT 1+1 DAİRE (Mopaş arkasında),none,0,0,0,0,0,none,0,,1328722730
,BASİSKELE BAHÇEKENT SİTESİNDE 2+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1328714154
,Daireye Ait Bahçeli Dubleks,garden,1,0,1,0,0,title,0,,1328709499
Ara Kat,TANYILDIZ'DAN BAŞİSKELEDE SİTE İÇİ ARAKAT SATILIK 2+1 DAİRE,none,0,0,0,0,0,none,0,,1328629840
Bahçe Dubleksi,YONCA SİTEDE ÖZEL KIŞ BAHÇELİ 4+1 DUBLEKS FOR SALE,garden,1,0,1,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1328702313
Dubleks|Bahçe Dubleksi,Başiskele Yeşilyurt Da 2+1 Bahçe Dubleks شقة للبيع,garden,1,0,1,0,0,detail_and_title,0,,1328696198
Çatı Dubleksi,BAŞİSKELE FATİH MAH. EĞİMSİZ 2+1 ÇATI DUBLEKS DAİRE,roof,1,1,0,0,0,detail_and_title,0,,1312956963
Dubleks,ÜST GRUP'TAN BAŞİSKELE PAŞADAĞ'DA DENİZ MANZARALI DUBLEX 4+1,standard,1,0,0,0,1,detail_and_title,0,,1279206573
Dubleks,YEŞİLYURT MERKEZİ KONUMDA 2+1 SATILIK ÇATI DUBLEKS,standard,1,0,0,0,1,conflict_detail_wins,1,conflict detail=standard title=roof,1313846469
Dubleks,Başiskele'de Satılık 3+1 Dubleks Daire - Royal Country,standard,1,0,0,0,1,detail_and_title,0,,1268472878
Çatı Dubleksi,BAŞİSKELE FATİH MAH PANORAMİK DENİZ MANZARALI 3+1 ÇATI DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,,1325725121
Dubleks|En Üst Kat|Çatı Dubleksi,BAŞİSKELE'DE HAVUZLU SİTEDE SATILIK 3+1 DUBLEKS DAİRE,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1325717740
Bahçe Dubleksi,BAŞİSKELE ZERAY GÜNEŞİ / EŞYALI SATILIK 3+1 BAHÇE DUBLEKS,garden,1,0,1,0,0,detail_and_title,0,,1328659161
,BAŞİSKELE YEŞİLYURTTA SATILIK 3+1 ÇATI DUBLEKS,roof,1,1,0,0,0,title,0,,1328667120
,Başiskele Fatihte Site İçinde Satılık 3+1 Dubleks Krediye Uygun,standard,1,0,0,0,1,title,0,,1328662451
Çatı Dubleksi,YEŞİLYURT MAH.GENİŞ TERASLI SATILIK 2+1 Ç.DUBLEKS DAİRE,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1311240789
,SERDAR MH 2+1 90M² DAİREMİZ SATILIKTIR,none,0,0,0,0,0,none,0,,1328655612
Çatı Dubleksi,YEŞİLYURT MAHALLESİNDE MERKEZİ KONUMDA 3+1 TERASLI ÇATI DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,,1317226636
Bahçe Dubleksi,YEŞİLYURT MAHALLESİNDE MERKEZİ KONUMDA 2+1 BAHÇE DUBLEKS,garden,1,0,1,0,0,detail_and_title,0,,1317222815
Ara Kat,RW Nova'dan Paşadağ Mh.Emar Delüx Sitesi Satılık 2+1 Arakat,none,0,0,0,0,0,none,0,,1328621433
Ara Kat,Başiskele'de Ara Kat Asansörlü Geniş 3+1 Daire,none,0,0,0,0,0,none,0,,1328602336
Çatı Dubleksi,FATİH MAHALLESİNDE 4+1 SATILIK LÜKS ÇATI DUBLEKSİ,roof,1,1,0,0,0,detail_and_title,0,,1294621423
,ERENOĞLU GM'DEN SİTE İÇİ SATILIK 3+1 YÜKSEK GİRİŞ DAİRE,none,0,0,0,0,0,none,0,,1328593333
Bahçe Dubleksi,REMAX DREAM DEN BAŞISKELE YEŞİLYURT'TA SATILIK 4+1 DAİRE,garden,1,0,1,0,0,detail,0,,1328589706
Dubleks,DERIN'DEN ZERAY PERLA'DA SATILIK 3+1 DUBLEKS GENİŞ DAİRE,standard,1,0,0,0,1,detail_and_title,0,,1314085801
Dubleks,BAŞİSKELE SATILIK 3+1 BAHÇE DUBLEKS,standard,1,0,0,0,1,conflict_detail_wins,1,conflict detail=standard title=garden,1297071556
Dubleks,BAİŞKELE YEŞİLYURTTA YÜKSEK TAVAN 3+1 SATILIK DUBLEKS DAİRE,standard,1,0,0,0,1,detail_and_title,0,,1317178863
Çatı Dubleksi,BAŞİSKELE'DE HAVUZLU SİTE İÇİ SIFIR 3+1 ÇATI DUBLEKS DAİRE,roof,1,1,0,0,0,detail_and_title,0,,1328539343
Ara Kat,TURYAP'TAN ÜSTPARK'TA KAPANMAZ MANZARALI FIRSAT 2+1,none,0,0,0,0,0,none,0,,1328537969
,Havuz başı özel bahçeli acil satılık,none,0,0,0,0,0,none,0,,1328523710
Ara Kat,DERİN'DEN MEGATRON SİTESİ'NDE SATILIK 3+1 DUBLEKS DAİRE,standard,1,0,0,0,1,title,0,,1325551411
Bahçe Dubleksi,Başiskele Fatih Mahallesi'nde Sıfır Bahçe Dubleksi Satılık Daire,garden,1,0,1,0,0,detail_and_title,0,,1320526798
Ara Kat|Çatı Dubleksi,BU EVDE MANZARAYA DOYACAKSINIZ VİLLA TADINDA EMSALSİZ DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1324624082
Çatı Dubleksi,ListingPortal Panorama1 sitesinde deniz manzaralı köşe çatı dubleks,roof,1,1,0,0,0,detail_and_title,0,,1252244107
Çatı Dubleksi,KREDİYE UYGUN BAŞİSKELEDE GENİŞ TERASLI 3+1 ÇATI DUBLEKS DAİRE,roof,1,1,0,0,0,detail_and_title,0,,1315328494
Dubleks|Bahçe Dubleksi,BAŞİSKELE PAŞADAĞ'DA SATILIK 3+1 BAHÇE DUBLEKS,garden,1,0,1,0,0,detail_and_title,0,,1328484780
Ara Kat,Fatih Mh'de Satılık 1+1 ve 2+1 Arakat Daireler Asansörlü,none,0,0,0,0,0,none,0,,1328487748
Çatı Dubleksi,BAŞİSKELE MAVİ YEŞİL PARK EVLERİ SATILIK 4+1 ÇATI DUBLEKS DAİRE,roof,1,1,0,0,0,detail_and_title,0,,1298410966
Dubleks,BAŞİSKELEDE MERKEZİ KONUMDA 3+1 TERASLI ÇATI DUBLEKSİ,standard,1,0,0,0,1,conflict_detail_wins,1,conflict detail=standard title=roof,1328456040
,DEALLİFE'DAN BAŞİSKELE YUVACIKTA 4+1 EĞİMSİZ DUBLEKS,standard,1,0,0,0,1,title,0,,1311052956
Çatı Dubleksi,"Başiskele Panorama 1'de Deniz Manzaralı, Yapılı 4+1 Çatı Dubleks",roof,1,1,0,0,0,detail_and_title,0,,1316870951
,KOCAELİ BAŞİSKELE YUVACIK MAH SATILIK 3+1 SIFIR ÇATI DUBLEKS,roof,1,1,0,0,0,title,0,,1316248762
Çatı Dubleksi,"Tarcanlardan Başiskele ,Paşadağ'da 2+1 Dubleks Daire Satılık",roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1328405343
Ara Kat,2+1 ARA KAT Tertemiz - Bahçekent Sitesi 610 Konutlu Sitede Daire,none,0,0,0,0,0,none,0,,1328382618
Ara Kat,Yuvacık Lotus Mahza Sitesi'nde Satılık 3+1 ARAKAT Daire,none,0,0,0,0,0,none,0,,1328397664
Çatı Dubleksi,TERAS MARMARA SİTESİNDE SATILIK 3+1 FULL DENİZ MANZARALI DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1305741820
Çatı Dubleksi,ACİL SATILIK DENİZ MANZARALI EĞİMSİZ ÇATI DUBLEKS DAİRE,roof,1,1,0,0,0,detail_and_title,0,,1328379992
,"BAŞİSKELE'DE MERKEZİ KONUMDA, 100 m² BAHÇELİ FERAH 2+1 DAİRE!",none,0,0,0,0,0,none,0,,1328331671
,REMAX DREAMDEN BAŞİSKELE FATİH'DE SİTE İÇİ 3+1 DAİRE,none,0,0,0,0,0,none,0,,1312137615
,BAŞİSKELE PAŞADAĞ MAH. SATILIK 4+1 ASANSÖRLÜ DUBLEKS DAİRE,standard,1,0,0,0,1,title,0,,1328344009
Dubleks|Bahçe Dubleksi|Ters Dubleks,LUXORA'DAN BAŞİSKELE YEŞİLYURT MAH'DE SATILIK 3+1 BAHÇE DUBLEKS,garden,1,0,1,0,0,detail_and_title,0,,1321819069
,BAŞİSKELE YUVACIK DOĞA EVLERİ SİTESİ 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1328310506
Çatı Dubleksi,"4+1 GENİŞ ÇATI DUBLEKS DAİRE, ÇATI EĞİMSİZ, İYİ KONUM, İSKANLI",roof,1,1,0,0,0,detail_and_title,0,,1300169006
Bahçe Dubleksi,BAŞİSKELE YUVACIK SİTE İÇİ BAHÇE DUBLEKS 4+1,garden,1,0,1,0,0,detail_and_title,0,,1282646283
Çatı Dubleksi,BAŞİSKELE YUVACIK YUVANA EVLERİ SİTESİ 3+1 ÇATI DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,,1311450413
,Başiskele Bahçekent'te Satılık 2+1 Daire (77m²),none,0,0,0,0,0,none,0,,1287275506
,BAŞİSKELE FATİH MAHALESİNDE ÖNÜ KAPANMAZ 3+1 ÇATI DUBLEKS,roof,1,1,0,0,0,title,0,,1328270372
En Üst Kat|Ara Kat|Çatı Dubleksi,BAŞİSKELE YEŞİLYURT MERKEZİ KONUM 3+1SATILIK 165M2 DUBLEKS DAİRE,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1328263976
Dubleks,KOCAELİ BAŞİSKELE FATİH MAHALLESİ SATILIK FIRSAT DAİRE,standard,1,0,0,0,1,detail,0,,1328267742
Çatı Dubleksi,YEŞİLYURTTA 3+1 DENİZ MANZARALI SATILIK EĞİMSİZ ÇATI DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,,1318740218
,Yeşilyurt merkezi konumda sıfır 3+1 geniş arakat daire,none,0,0,0,0,0,none,0,,1328267407
Dubleks|Çatı Dubleksi,Başiskele Yeşilyurt Mah.de 3+1 Dubleks Satılık Daire,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1322029815
,YUVACIK VADİ EVLERİNDE 2+1 GENİŞ BAHÇELİ DUBLEKS FIRSAT DAİRE,garden,1,0,1,0,0,title,0,,1328252264
,YUVACIK VADİ EVLERİNDE 3+1 GENİŞ BAHÇELİ DUBLEKS FIRSAT DAİRE,garden,1,0,1,0,0,title,0,,1328249426
Ara Kat,ORKA LIFE 2 SİTESİ'NDE FIRSAT 4+1 DAİRE,none,0,0,0,0,0,none,0,,1328237229
,YEŞİLYURT STRADA AVM'YE YAKIN | 2+1 YÜKSEK GİRİŞ FIRSAT DAİRE,none,0,0,0,0,0,none,0,,1328230276
,"ÇİFT TERASLI, MERKEZİ KONUMDA, UYGUN FİYAT 3+1 ÇATIDUBLEKS DAİRE",roof,1,1,0,0,0,title,0,,1313931531
Bahçe Dubleksi,"ÖZEL BAHÇE KULLANIMLI, MERKEZİ KONUMDA, 3+1 BAHÇEDUBLEKS DAİRE",garden,1,0,1,0,0,detail_and_title,0,,1300097262
Dubleks|Çatı Dubleksi,Lotus Evleri 2/Site İçi Satılık 2+1 120 M² Çatı Dubleks,roof,1,1,0,0,0,detail_and_title,0,,1322218232
Çatı Dubleksi,Re/max Mir Başiskele'de Satılık 2+1 Çatı Dubleks Daire,roof,1,1,0,0,0,detail_and_title,0,,1282847040
,YEŞİLYURT MAHALLESİ MERKEZİ KONUMLU BÜYÜK TERAS KULLANIŞLI 2+1,none,0,0,0,0,0,none,0,,1328168880
Dubleks|Çatı Dubleksi,BAŞİSKELE'DE FERAH VE ÖNÜ AÇIK 3+1 ÇATI DUBLEKS ASANSÖRLÜ,roof,1,1,0,0,0,detail_and_title,0,,1328194431
Çatı Dubleksi,ARKUN GAYRİMENKUL'DEN MERKEZİ KONUMDA SATILIK 3+1 SIFIR DAİRE,roof,1,1,0,0,0,detail,0,,1328150793
Çatı Dubleksi,ARAÇ TAKASILI BAŞİSKELE YEŞİLYURT MAH. EĞİMSİZ 2+1 ÇATI DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,,1322242064
Ara Kat,BAŞİSKELE YEŞİLYURT MAH 3+1 ULTRA LÜKS SATILIK ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1328149236
Çatı Dubleksi,KAÇIRILMAYACAK FIRSAT 3+1 ÇATI DUBLEKS GENİŞ TERASLI MANZARALI,roof,1,1,0,0,0,detail_and_title,0,,1316875701
Dubleks|Bahçe Dubleksi|Ters Dubleks,BAŞİSKELE KULLAR'DA 2+1 DUBLEKS FIRSATI,garden,1,0,1,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1328125379
,BAŞİSKELE YEŞİLYURTDA SİTE İÇERİSİNDE SATILIK DAİRE,none,0,0,0,0,0,none,0,,1239765243
,TINAZTEPE CAD. SATILIK TERASLI 2+1 ÇATI DUBLEKS,roof,1,1,0,0,0,title,0,,1322198706
Bahçe Dubleksi,BAŞİSKELE FATİH MAH. OTURUMA HAZIR 3+1 BAHÇE DUBLEKS,garden,1,0,1,0,0,detail_and_title,0,,1322177629
Dubleks|En Üst Kat|Çatı Dubleksi,Site İçi Satılık 3+1 170 M² Geniş EĞİMSİZ Dubleks,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1322199055
Çatı Dubleksi,DERİN'DEN YEŞİLYURT'TA SATILIK 4+1 DENİZ MANZARALI ÇATI DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,,1315730731
Çatı Dubleksi,Başiskele Yuvacık'ta Satılık 1+1 Çatı Dubleks Daire Asansörlü,roof,1,1,0,0,0,detail_and_title,0,,1318766705
Çatı Dubleksi,REMAX MYRA SİTE İÇİNDE SATILIK 4+1 ÇATI DUBLEX GENİŞ KULLANIŞLI,roof,1,1,0,0,0,detail_and_title,0,,1308053579
Bahçe Dubleksi,YUVACIK AYDINKENTTE DOĞA İÇİNDE BAHÇE DUBLEKS 3+1 DAİRE,garden,1,0,1,0,0,detail_and_title,0,,1322188606
Çatı Dubleksi,CB Mahall'den Deniz manz. Yeşilyurtta Eğimsiz 2+1 Çatı Dubleks,roof,1,1,0,0,0,detail_and_title,0,,1319837793
Çatı Dubleksi,YOLDAŞ EMLAKTAN ÜSTPARK YUVACIK SİTESİ SATILIK 4+1 DUBLEKS DAİRE,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1328076497
,MAMIKLER REFORM'DA HAVUZ CEPHELİ SİTE İÇİ GİRİŞ 3+1 DAİRE,none,0,0,0,0,0,none,0,,1241583743
Dubleks|En Üst Kat|Çatı Dubleksi|Ters Dubleks,BAŞİSKELE YEŞİLYURT DA 4+1 220 M2 VİLLA TİPİ ÇATI DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,,1328060163
Bahçe Dubleksi,SATILIK 3+1 ZERAY GÜNEŞİ MÜSTAKİL BAHÇELİ DAİRE,garden,1,0,1,0,0,detail,0,,1294778590
,BAHÇEKENT SİTESİNDE 2+1 ZEMİN KAT | ️ AMERİKAN & KAPALIMUTFAK,none,0,0,0,0,0,none,0,,1328064302
,İSKANI ALINMIŞ MERKEZİ KONUM 2+1 ÇATI DUBLEKS,roof,1,1,0,0,0,title,0,,1314903502
Ara Kat,SATILIK 2+1 ARA KAT | 105 m² BRÜT | DURAK/MARKET/FIRIN,none,0,0,0,0,0,none,0,,1328055588
Çatı Dubleksi,ERENOĞLU GM'DEN FATİH MAH SATILIK 4+1 ÇATI DUBLEKS DAİRE,roof,1,1,0,0,0,detail_and_title,0,,1313561056
Bahçe Dubleksi,ERENOĞLU GM'DEN YEŞİLYURT MAH SATILIK 3+1 BAHÇE DUBLEX DAİRE,garden,1,0,1,0,0,detail_and_title,0,,1314938960
Ara Kat,ERENOĞLU GM'DEN FATİH MAH SATILIK 2+1 ARA KAT DAİRE,none,0,0,0,0,0,none,0,,1313572956
Çatı Dubleksi,Başiskele Yeşilyurt Mahallesinde 3+1 Çatı Dubleks Ekstralı,roof,1,1,0,0,0,detail_and_title,0,,1328050687
,DENİZ MANZARALI 2+1 ÇATI DUBLEKS | YEŞİLYURT MAHALLESİ,roof,1,1,0,0,0,title,0,,1312780417
Dubleks|En Üst Kat|Çatı Dubleksi,Başiskele Fatih de 155 m2 3+1 Çatı Dubleks شقة للبيع في باشيسكيل,roof,1,1,0,0,0,detail_and_title,0,,1322032511
Dubleks|Çatı Dubleksi,GENİŞ 2+1 ÇATI DUBLEKS DAİRE ŞEHİR VE DENİZ MANZARALI,roof,1,1,0,0,0,detail_and_title,0,,1321287924
Dubleks,BAŞİSKELE FATİH MAH SIFIR SATILIK 3+1 EYİMSİZ ÇATI DUBLEKS,standard,1,0,0,0,1,conflict_detail_wins,1,conflict detail=standard title=roof,1322150251
Çatı Dubleksi,SERDAR MH. 3+1 ÇATI DUBLEKS İSKANLI OTURUMA HAZIR,roof,1,1,0,0,0,detail_and_title,0,,1321950540
Çatı Dubleksi,YEŞİLYURT 3+1 ÇATI DUBLEKS DAİRE MERKEZİ KONUM,roof,1,1,0,0,0,detail_and_title,0,,1316785969
Çatı Dubleksi,BAŞİSKELE PAŞADAĞ 4+1 PRESTİJLİ TERAS DUBLEKS DAİRE,roof,1,1,0,0,0,detail_and_title,0,,1321775121
Ara Kat,ERENOĞLU GM'DEN SATILIK MERKEZİ LOKASYONDA 2+1 ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1328043195
Çatı Dubleksi,BAŞİSKELE TINAZTEPE CADDESİNDE 2+1 EĞİMSİZ ARA DUBLEKS DAİRE,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1322126977
Ara Kat,FIRSAT!! ZERAY PERLA 2+1 ARAKAT DOĞA MANZARALI SATILIK DAİRE,none,0,0,0,0,0,none,0,,1297738335
Ara Kat,ACİL FIRSAT...!! YEŞİLYURT MAH'DE ARA KAT 2+1 SATILIK DAİRE .!!,none,0,0,0,0,0,none,0,,1327993812
,Akasya Modern Sitede Özel Bahçeli 4+1 Dubleks Önü Kapanmaz,standard,1,0,0,0,1,title,0,,1264766521
Ara Kat,BAŞİSKELE PAŞADAĞ MAH. FULL DENİZ MANZARALI SİTE İÇERİSİ ARA KAT,none,0,0,0,0,0,none,0,,1327989606
Çatı Dubleksi,Cb Mahall'den Başiskele Fatih Mah. Satılık 3+1 Çatı Dubleks,roof,1,1,0,0,0,detail_and_title,0,,1307361345
Çatı Dubleksi,BAŞİSKELE PAŞADAĞ 4+1 SATILIK İÇİ BOŞ DAİRE,roof,1,1,0,0,0,detail,0,,1296917816
Çatı Dubleksi,Kaçırılmayacak Fırsat! Villa Konforunda 3+1 Dubleks,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1318867214
Çatı Dubleksi,"Başiskele Paşadağda , Asansörlü Modern 3+1 Çatı Dublex",roof,1,1,0,0,0,detail_and_title,0,,1295420642
,SATIŞ OFİSİNDEN FATİH MAH. ASANSÖRLÜ 3+1 ÇATI DUBLEKS,roof,1,1,0,0,0,title,0,,1294143997
Bahçe Dubleksi,"Şehir Merkezinde Bahçeli, 3 Girişli, 2 Master Odalı Dubleks Dair",garden,1,0,1,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1318651810
Ara Kat,BAŞİSKELE YUVACIK YEŞİLYUT MAH. SATILIK SIFIR 2+1 ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1327924382
Çatı Dubleksi,"2+1 GENİŞ TERASLI ÇATIDUBLEKS DAİRE, AVM BUCADDE ÜSTÜNDE",roof,1,1,0,0,0,detail_and_title,0,,1296319668
,4+1 BU FİYATA YOK . 185 M2 YEŞİLYURT MH'DE 2 BAHÇE DUBLEKS DAİRE,garden,1,0,1,0,0,title,0,,1313777917
Dubleks,"EMİN, FUZUL, KATILIM, SİNPAŞ GYO FİNANS YATIRIMA SATIŞI UYGUNDUR",standard,1,0,0,0,1,detail,0,,1327877264
Dubleks,BAŞİSKELE DENİZ MANZARALI DUBLEX TERASLI BÜYÜK 4+1 BOŞ DAİRE,standard,1,0,0,0,1,detail_and_title,0,,1316646935
Ara Kat|Çatı Dubleksi,KOCAELİ BAŞİSKELE'DE 2+1 ÇATI DUBLEKS 4 BALKONLU SATILIK DAİRE,roof,1,1,0,0,0,detail_and_title,0,,1318967659
Bahçe Dubleksi,BAHÇE KULANIMLI 3+1 BAHÇE DUBLEX ORMAN MANZARALI EŞSİZ DAİRE,garden,1,0,1,0,0,detail_and_title,0,,1316093366
Çatı Dubleksi,BAŞİSKELE YEŞİLYURT MAHLESİNDE KULANIŞLI 2+1 ÇATI DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,,1319913251
Çatı Dubleksi,BAŞİSKELE BELEDİYE YAKININDA DENİZ MANZARALI 3+1 ÇATI DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,,1293423850
Bahçe Dubleksi,BAŞİSKELE YUVACIK ZERAY GÜNEŞİ SİTESİNDE 3+1 BAHÇE DUBLEKS,garden,1,0,1,0,0,detail_and_title,0,,1327630786
