segment,rows,r2,mape
duplex,339,0.3163379239464864,0.10122596425882052
non_duplex,55,0.10643131240688553,0.13016850265543511
roof,181,0.18525816050437494,0.09385711026160909
garden,100,0.3632966645079382,0.1104207264804243
middle_floor,3,,
standard,55,0.42278362214586873,0.11040156860656328
