site_project_id,n_listings,known_premium
missing,296,0
zeray_perla,6,1
zeray_gunesi,6,1
bahcekent_konutlari,4,0
panoramakent_1,4,0
yuvana_evleri,4,0
yuvacik_vadi,3,0
mavi_yesil_park,3,0
kirazli_kent,2,0
helin,2,0
emar_delux_yuvacik,2,0
basiskele_de_havuzlu,2,0
my_yaka,2,0
royal_city_akkurt,2,0
orka_life_2,2,1
royal_country,2,0
ustgrup_lifeside,2,0
zeraykent_yuvacik,2,0
zeray_kent,2,0
oluklu_life,2,0
iskar_elit_kent,2,0
oksijen_konaklari,2,0
megatron_azize,2,0
mamik_reform,2,0
dream_gardens,1,0
asrin,1,0
akven_armoni_teras,1,0
akasya_modern,1,0
memur_sen,1,0
may_kent_2,1,0
mahall_yuvacik_2,1,0
manaryuvacik,1,0
lotus_mahza,1,0
hanzade_palace,1,0
esila_park,1,0
lotus,1,0
havuzlu,1,0
basiskelede_prejtijli,1,0
boyunegmez_yasam,1,0
cadde_53,1,0
cati_dubleks_havuzlu,1,0
doga,1,0
dongelde,1,0
remax_dreamden_fatih_de,1,0
terra_nova,1,0
teras_marmara,1,0
supark_megaron,1,0
listing_portal_vadi_yuvacik,1,0
rozna,1,0
royal_park,1,0
pasadag_mah_full_deniz_manzarali,1,0
torunogullari_park_2,1,0
yonca_evleri_2,1,0
yesilyurtda,1,0
vistapark,1,0
venedik,1,0
ust_park_yuvacik,1,0
twinkle_life,1,0
yuz_yapi_dan_deniz_ve_vadi,1,0
zeray_korupark,1,1
