flag,share_all,share_expensive_underpred,lift,n_all,n_expensive_underpred
text_sea_view,0.23721436343852012,0.3,1.2646788990825688,218,27
text_has_pool,0.21871599564744287,0.4,1.828855721393035,201,36
text_luxury_signal,0.07834602829162132,0.14444444444444443,1.8436728395061728,72,13
text_project_signal,0.719260065288357,0.7777777777777778,1.0813582114641116,661,70
text_villa_like,0.028291621327529923,0.044444444444444446,1.5709401709401711,26,4
text_duplex,0.06528835690968444,0.044444444444444446,0.6807407407407408,60,4
text_garden_duplex,0.05223068552774755,0.022222222222222223,0.425462962962963,48,2
text_roof_duplex,0.10228509249183895,0.022222222222222223,0.21725768321513003,94,2
text_private_garden,0.042437431991294884,0.044444444444444446,1.0472934472934474,39,4
text_terrace,0.14036996735582155,0.1111111111111111,0.7915590008613264,129,10
text_low_rise,0.015233949945593036,0.03333333333333333,2.188095238095238,14,3
text_high_floor,0.06746463547334058,0.12222222222222222,1.8116487455197132,62,11
text_new_project,0.07616974972796518,0.13333333333333333,1.7504761904761903,70,12
text_premium_finish,0.27856365614798695,0.2777777777777778,0.9971788194444444,256,25
site_project_known_premium_flag,0.06746463547334058,0.2111111111111111,3.1292114695340505,62,19
has_site_project_name,0.20021762785636563,0.28888888888888886,1.4428743961352655,184,26
