duplex_type,is_large_home,n,median,mean,p10,p90
garden,0,144,35185.19,37073.616319444445,28028.667,47361.11300000002
garden,1,38,37847.225,38007.624210526315,27471.931,46403.507000000005
middle_floor,0,9,34642.86,34616.711111111115,29769.23,39285.912
middle_floor,1,1,34250.0,34250.0,34250.0,34250.0
none,0,1823,40833.33,41216.57979155238,25214.420000000002,56764.909999999996
none,1,64,36770.2,41129.00265625,23358.333,65749.96800000001
roof,0,381,36086.96,37733.14871391076,30259.26,47000.0
roof,1,178,33879.93,35971.93275280899,25266.666,52941.908
standard,0,263,36875.0,38190.38817490494,29625.638,47261.9
standard,1,132,34178.435,36897.65704545454,25648.696,49658.335999999996
