duplex_type,n,median,mean
garden,56,234.11,246.18446428571428
middle_floor,2,245.29000000000002,245.29000000000002
none,1491,235.29,252.19232729711604
roof,123,232.14,240.76243902439023
standard,101,230.0,238.0648514851485
