decile,n,mean_actual,mean_pred,mean_bias
0,34,27818.52735294118,34143.80195359626,6325.274600655083
1,33,31253.70303030303,34308.000616404235,3054.297586101203
2,33,33331.37848484849,36077.71359115648,2746.3351063079926
3,34,35056.74647058824,36444.49145037966,1387.7449797914262
4,33,36505.713030303035,38076.23022271242,1570.5171924093988
5,33,38077.21636363636,38889.05354358043,811.8371799440724
6,34,40222.16588235294,38813.42563106568,-1408.7402512872607
7,33,42611.138787878794,39938.921946051225,-2672.21684182756
8,33,46737.91878787879,42469.269146618586,-4268.649641260193
9,34,54099.45852941176,44670.91139332165,-9428.547136090112
