room_count,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
Stüdyo (1+0),4,16.25,16.5,0,0,1.5379728807811057,60120.0
6+1,6,12.5,13.5,0,0,0.7064500850322349,31801.156666666666
7+1,1,12.0,12.0,0,0,0.8464986685433141,40000.0
5+2,8,10.0,7.0,0,0,0.8602595773432314,36766.02625
1.5+1,2,8.5,8.5,0,0,1.188423067245032,42175.925
4+3,1,7.0,7.0,0,0,0.919695131696153,27857.14
6+2,1,7.0,7.0,0,0,0.7717693184154162,34285.71
4.5+1,9,6.0,0.0,0,0,0.8385614567055503,38221.78222222222
4+2,19,5.947368421052632,7.0,0,0,0.8148803330588555,36580.69157894737
5+1,53,5.245283018867925,5.0,0,0,0.8858436560052015,36163.31226415095
2+0,1,5.0,5.0,0,0,1.070214002422596,52105.26
3+2,5,4.2,7.0,0,0,0.9865905137413816,42454.65
4+1,300,3.506666666666667,0.0,1,0,0.9248442855080624,36922.23356666667
5.5+1,2,3.5,3.5,0,0,1.0026264023178295,37765.765
1+1,100,3.4,0.0,0,0,1.146272284594728,47164.5924
2.5+1,10,3.1,0.0,0,0,0.8863108774908417,44290.429
3.5+1,6,3.0,2.5,0,0,0.9422050317478867,39141.07166666666
3+1,1263,2.5676959619952493,0.0,1,0,0.9717605632089603,38036.82557403009
2+1,1209,2.5268817204301075,0.0,0,0,1.00726425279744,42285.369999999995
