county,group,mean_abs_effect,positive_feature_count,negative_feature_count,top_positive_features,top_negative_features
Başiskele,front,0.011716172856846545,0,5,front_south|front_north|front_west,front_east|front_score|front_west
Başiskele,inside,0.027810531939560273,12,2,in_smart_home|in_builtin_kitchen|in_air_conditioner,in_terrace|in_pantry|in_laminate_floor
Başiskele,nearby,0.015460133787732939,4,7,near_lake_zero|near_mall|near_pharmacy,near_university|near_school|near_mosque
Başiskele,outside,0.07009532382616102,10,2,out_sauna_hamam|out_closed_pool|out_generator,out_heat_insulation|out_sound_insulation|out_camera
Başiskele,subtype,0.05289175130637675,2,5,subtype_middle_floor|subtype_triplex|subtype_garden_duplex,subtype_top_floor|subtype_reverse_duplex|subtype_roof_duplex
Başiskele,transport,0.017535062493595776,1,9,transport_airport|transport_score|transport_train,transport_tram|transport_main_road|transport_minibus
Başiskele,view,0.03587392791863374,4,5,view_pool|view_bosphorus|view_lake,view_river|view_sea|view_city
Darıca,front,0.01857855904019007,1,4,front_west|front_north|front_south,front_score|front_east|front_south
Darıca,inside,0.04029612918252069,11,3,in_smart_home|in_builtin_kitchen|in_air_conditioner,in_terrace|in_pantry|in_glass_balcony
Darıca,nearby,0.016108094142564172,10,1,near_lake_zero|near_sea_zero|near_pharmacy,near_university|near_hospital|near_school
Darıca,outside,0.07024747562920249,12,0,out_sauna_hamam|out_closed_pool|out_generator,out_heat_insulation|out_sound_insulation|out_camera
Darıca,subtype,0.07308608511470092,2,5,subtype_middle_floor|subtype_triplex|subtype_garden_duplex,subtype_duplex|subtype_top_floor|subtype_reverse_duplex
Darıca,transport,0.012189280244413247,8,2,transport_metro|transport_main_road|transport_airport,transport_tram|transport_train|transport_tem
Darıca,view,0.032650810539263025,6,3,view_bosphorus|view_lake|view_pool,view_city|view_river|view_score
Derince,front,0.016064808740655502,4,1,front_score|front_north|front_east,front_south|front_west|front_east
Derince,inside,0.037930795712832234,9,5,in_smart_home|in_intercom|in_steel_door,in_pantry|in_terrace|in_air_conditioner
Derince,nearby,0.01755915722051393,4,7,near_lake_zero|near_sea_zero|near_city_center,near_park|near_hospital|near_school
