site_project_id,n,mean_actual,mean_pred,mean_residual
izmit::turkoz,1,56818.18,49579.3435197704,-7238.836480229598
derince::begonvil_konaklari,1,37631.58,30411.11031831018,-7220.469681689821
korfez::kavanium_korfez_sitesi_1203_ada_16,1,75833.33,68682.55135295424,-7150.778647045765
cayirova::sekerpinar_deprem_konutlari_5,1,52777.78,45656.60864247866,-7121.171357521336
gebze::erengul_yasam,3,52007.48,44924.514420536136,-7082.96557946387
korfez::emlak_korfezkent_1930_ada_4,1,50000.0,42959.565767207685,-7040.434232792315
basiskele::zeray_perla,2,53210.14,46209.10691936805,-7001.033080631947
kartepe::kartepe_konutlari_2,2,43703.7,36793.99497404949,-6909.705025950505
derince::inci,2,53114.97,46302.1429835215,-6812.827016478499
basiskele::panoramakent_2,1,45000.0,38196.27444054358,-6803.725559456419
gebze::gebze_emlak_konutlari_3,5,61640.96800000001,54983.771566760806,-6657.196433239196
darica::tuzla_caddesi_uzeri_butik,1,59913.04,53290.180334426215,-6622.859665573786
kartepe::merkezi_konum_havuzlu_ve_asansorlu,1,45461.54,38947.495858487266,-6514.044141512735
basiskele::armoni_2,1,49583.33,43121.8173026701,-6461.512697329905
golcuk::sirinkent_kalici_konutlari_19_ada,1,38333.33,31880.9916395636,-6452.338360436403
korfez::emlak_korfez_kent_sitesi_2,2,61224.49,54845.709704287015,-6378.780295712979
cayirova::aksu_yasam,2,55691.729999999996,49466.28028102719,-6225.44971897281
golcuk::turkuaz,1,42916.67,36755.877595206286,-6160.792404793712
izmit::maykon_smart_plus,1,52238.81,46216.94857328804,-6021.861426711956
basiskele::zeray_korupark,1,45989.3,40085.28066820404,-5904.019331795964
gebze::boran_bloklari,1,53515.63,47620.965133498335,-5894.664866501662
kartepe::rose_garden,1,46575.34,41064.559641492306,-5510.780358507691
darica::sinirsiz_kredili_bayramoglu_mevki,1,60421.05,54969.080743582395,-5451.9692564176075
golcuk::tanyildizdan_golcuk_elit_park,1,44800.0,39362.85341805105,-5437.146581948953
izmit::yildiz,4,58458.1225,53115.90578115443,-5342.2167188455605
izmit::jasmine_country,1,42000.0,36707.162690222394,-5292.837309777606
basiskele::ara,1,55312.5,50044.87134689161,-5267.62865310839
gebze::yesilkent,2,47857.145000000004,42659.21071079544,-5197.934289204557
kartepe::adesa,1,36423.84,31235.91782943516,-5187.922170564838
izmit::green_hill_city,1,47413.79,42242.27678855509,-5171.513211444908
basiskele::orka_life_2,2,45666.665,40646.545743799885,-5020.119256200116
basiskele::mahall_yuvacik_2,2,44758.065,39751.749201248735,-5006.31579875126
izmit::ara,1,46315.79,41383.92048989389,-4931.869510106109
golcuk::sarayli_kalici_konutlari_182_ada,1,33636.36,28829.323489862538,-4807.036510137463
derince::cenedag,1,50000.0,45315.078907820265,-4684.921092179735
basiskele::yesilyurt,1,41935.48,37313.443844061825,-4622.036155938178
korfez::huzur,1,31851.85,27293.478416366197,-4558.3715836338015
izmit::ufuk,1,29166.67,24633.076760024556,-4533.593239975442
kartepe::mk_elegance,1,45428.57,40899.37353454577,-4529.196465454232
darica::darica_merkez_de,1,59000.0,54472.518588610284,-4527.4814113897155
darica::es_marin_konaklari,1,55185.19,50687.94626806106,-4497.243731938943
darica::kiana,1,42484.85,38045.281427479225,-4439.568572520773
kartepe::marmara_34,2,46196.56,41769.19863626667,-4427.361363733329
golcuk::hisareynde,1,36551.72,32239.99981297501,-4311.720187024992
kartepe::meltem,1,35769.23,31466.805289500197,-4302.424710499807
korfez::emlak_korfez_kent_sitesi_4,2,54173.67,49881.65100745804,-4292.018992541962
golcuk::toki_konutlari,1,31666.67,27390.554321010226,-4276.115678989772
izmit::kavanium,2,48592.29,44371.40173471241,-4220.888265287591
basiskele::erguvan_konaklari,1,37777.78,33604.97112573009,-4172.808874269911
basiskele::yesilyurt_mah_durupark,1,48058.25,44019.36981620879,-4038.8801837912106
izmit::bagcesme_kavanium,1,42761.9,38756.06593958684,-4005.834060413159
derince::esnaflar_kooperatifi,1,38500.0,34509.27122814093,-3990.728771859067
izmit::yildizlar_tepesi,1,49090.91,45137.16447106948,-3953.7455289305217
cayirova::cayirova_toki,1,46428.57,42475.82903719422,-3952.7409628057794
derince::balkent,1,28571.43,24630.460678509626,-3940.9693214903746
golcuk::ayse_torunogullari,1,39285.71,35346.4362971987,-3939.2737028013
darica::cami_mah,1,63250.0,59312.65345483819,-3937.3465451618104
izmit::selale,1,48484.85,44554.72283249334,-3930.12716750666
golcuk::emek,1,27314.81,23404.01556410862,-3910.794435891381
derince::royal_den_derince_60_evler_sefa,1,30454.55,26581.191652710586,-3873.3583472894134
kartepe::kartepe_dumlupinar_ritim_naz,1,49324.32,45520.38201479211,-3803.937985207893
basiskele::duru_park,1,48058.25,44440.35279604003,-3617.8972039599685
gebze::yildiz_bloklari,1,43181.82,39689.75326762439,-3492.066732375606
kartepe::zeray_esil,5,45638.534,42202.17365139552,-3436.360348604487
izmit::vista,1,37575.76,34158.058116113534,-3417.701883886468
derince::6_nolu_kooperatif,1,36111.11,32717.53391085627,-3393.576089143731
kartepe::dosteller,1,40000.0,36610.19114228975,-3389.8088577102535
kartepe::480,4,42530.2425,39140.75983232021,-3389.4826676797857
izmit::kent_konutlari_3,1,42941.18,39666.62449817013,-3274.555501829869
izmit::tepekoy_toki_konutlari_191_ada,1,43750.0,40490.813998093676,-3259.1860019063242
korfez::kavanium_korfez,2,54453.215,51275.92364633075,-3177.2913536692467
kartepe::konak,1,33812.95,30679.465971714155,-3133.484028285842
gebze::vadipark,1,61052.63,57945.21447736847,-3107.415522631527
kartepe::ena_gayrimenkulden_kartepe_s_royal2,1,48000.0,44951.17462007675,-3048.825379923248
darica::kastel_tatil_koyu,4,63293.067500000005,60246.919016973785,-3046.148483026216
golcuk::mavi_sehir,2,36139.115000000005,33178.68366108292,-2960.4313389170857
kartepe::atakent_evleri_132_ada,1,39987.5,37040.11158524417,-2947.3884147558274
korfez::emlak_korfezkent_3_etap_1924,1,55612.24,52668.26768518079,-2943.972314819206
golcuk::kavanium_2,1,48500.0,45619.19822625921,-2880.8017737407936
basiskele::oluklu_life,1,37591.24,34743.11882802553,-2848.121171974468
golcuk::kavanium,4,42107.7275,39373.552488267305,-2734.175011732699
derince::kalici_konutlar,2,46065.215,43352.595031941346,-2712.619968058654
izmit::sudeks_bagcesme,1,47142.86,44515.12703496069,-2627.7329650393076
kartepe::aras_gayrimenkulden_fsm_de,1,42857.14,40235.36463124096,-2621.7753687590375
izmit::pinar,1,29500.0,26932.50017633633,-2567.499823663671
derince::bariskent,3,47597.12333333333,45046.23760956776,-2550.8857237655707
cayirova::emek_toki,1,46842.11,44293.45563169544,-2548.65436830456
derince::aytes,1,37500.0,34959.70386992208,-2540.2961300779207
kartepe::modern_2,1,34230.77,31705.934762102363,-2524.835237897634
darica::ataturk_caddesi_yakini,1,53192.0,50674.072049133014,-2517.927950866986
izmit::masiva_kozluk,1,47159.09,44684.18833792107,-2474.901662078926
basiskele::teras_marmara,1,37500.0,35025.98863827126,-2474.0113617287425
kartepe::kent_meydaninda_1_99_krediyle,1,43809.51,41347.79374394249,-2461.716256057509
