heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Yok,9,0.21741123714563496,0.17989285357595938,6499.0649318990145,6213.245113212732,32164.37222222222,32134.758395151475
Soba,1,0.19518781694959939,0.19518781694959939,4937.1040644612,4937.1040644612,25294.12,30231.2240644612
,8,0.17513489018357487,0.18534298783574138,9240.061374251803,6523.175003588358,48727.13,45081.48106889619
Klima,8,0.15370730963157989,0.1554211926726716,6914.145104549978,4723.38758979283,42383.465000000004,41656.680399394354
Kombi (Elektrik),8,0.14973128264686175,0.06924459454975554,6775.520025916661,3161.489075281326,45198.94375,44657.38744265084
Doğalgaz Sobası,16,0.14145077512342152,0.0947434047206322,3729.2932556704927,2895.294523957924,26415.259375,27268.2093999875
Merkezi,58,0.13477663358705907,0.11674614020413493,5640.447140002138,3656.425643424467,38560.792068965515,37000.759375889334
Kombi (Doğalgaz),1912,0.13458278489766198,0.10533943340976888,4970.236969582253,3893.8234949023063,37849.73848849372,37633.98966660047
Merkezi (Pay Ölçer),154,0.1251950823576434,0.09683986822167637,6624.924752817747,4496.2716367843495,50889.13532467532,47961.236836071716
Kat Kaloriferi,8,0.11503817061242269,0.08962310813244562,4323.328445526035,3629.2684433924333,38892.832500000004,37040.171705219866
Yerden Isıtma,818,0.10611105118369518,0.07864331340037334,4590.4860621668295,3301.365572425446,43106.01261613692,42326.696566588704
