split,detail_duplex_count,title_duplex_count,detail_and_title_duplex_count,title_only_duplex_count,detail_only_duplex_count,conflict_count,roof_duplex_count,garden_duplex_count,middle_floor_duplex_count,generic_duplex_count
sale,860,952,647,286,194,19,559,182,10,395
rental,227,218,161,55,64,2,123,56,2,101
