metric,v21_reference,v23_current
sale_raw,,3150.0
rental_raw,,1800.0
sale_after_basic_filter,,3120.0
rental_after_basic_filter,,1773.0
sale_training_rows,,3033.0
large_home_count_ge180,,413.0
large_home_share_ge180,,0.1361688097593142
duplex_count_sale,,1146.0
