building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
missing,8,0.17513489018357487,0.18534298783574138,9240.061374251803,6523.175003588358,48727.13,45081.48106889619
21-25 arası,99,0.1691062673031949,0.1271572653552586,5151.299201429495,4041.7385968935814,32085.842626262627,33798.513122830635
26-30 arası,162,0.15565410346061384,0.12533631539745965,4879.778708588521,3497.6106919646245,30357.26296296296,29851.933035614176
16-20 arası,107,0.1549950100078911,0.13052910595457926,5361.063999086604,4155.7042106254885,35618.84672897196,36215.55996269842
0 (Yapım Aşamasında),40,0.15295259529481314,0.13319142661225705,6932.130479095225,5025.441286996116,44294.42775,42148.12176290796
11-15 arası,351,0.1465608940105209,0.11756804750966483,5554.124882578976,4435.638286959584,39015.43148148148,38815.95948165713
3,78,0.14013293591827286,0.10433165606698623,6364.507174716752,4405.911663474082,43823.986794871795,42517.5212173285
31 ve üzeri,190,0.13896448936878728,0.11475034696266129,4215.047295928253,2778.16802666938,28843.996263157896,28271.31220431629
6-10 arası,521,0.13646247802185735,0.10907192214427296,5353.618950586018,4307.1813639621905,40065.51124760076,39637.00724739391
1,100,0.1302044010305781,0.10674619428593637,5382.8112736463845,4337.415710419282,41681.6603,40869.82899997293
5,145,0.1293169742671151,0.10026194523573644,5229.829220331377,4086.2544558261943,40818.112758620686,40291.54097847094
4,70,0.12156207467414304,0.10486558487576991,5087.638787982428,3836.5255368295657,41821.231857142855,40997.33522503941
2,79,0.11278847733280509,0.07712094125591377,4743.597833996677,3083.0598881400365,41484.446962025315,41354.254716040414
0 (Oturuma Hazır),1050,0.1002443707016779,0.07622911715386117,4435.967009378161,3249.628090717324,43824.756114285716,42935.00921103727
