county,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
Gölcük,336,3.4910714285714284,0.0,0,0,0.9932446452574715,33941.390327380956
Gebze,337,3.4747774480712166,0.0,0,0,0.980759305599453,44399.62400593472
İzmit,333,3.1771771771771773,0.0,0,0,0.9830540745095803,38506.58177177177
Çayırova,329,3.1003039513677813,0.0,1,0,0.9932117770083678,42250.29188449848
Körfez,338,3.0,0.0,0,0,0.9769297998346376,35512.69284023668
Derince,333,2.6396396396396398,0.0,0,0,0.9852188014376425,37239.6257957958
Darıca,330,2.5393939393939395,0.0,1,0,0.9815498455351714,51394.081878787874
Kartepe,330,2.221212121212121,0.0,0,0,0.9799984217303254,37884.845727272725
Başiskele,334,1.778443113772455,0.0,0,0,0.9738613800888634,38580.113173652695
