raw_folded,canonical_id
1.69 kredi icon residence,1_69_kredi_icon
100. yil bariser sitesi,100_yil_bariser
480 residence sitesi,480
6 nolu kooperatif,6_nolu_kooperatif
80 ine kredi imkamli site,80_ine_kredi_imkamli
acill deallife'dan ataevlerde site,acill_deallife_dan_ataevlerde
adem uslu evyap sitesi,adem_uslu_evyap
aden park evleri,aden_park
adesa sitesi,adesa
agkoc evleri 2,agkoc_evleri_2
akcakent 1 konutlari,akcakent_1
akcakoca konutlari,akcakoca
akkus sitesi,akkus
akse life sitesi,akse_life
aksede site,aksede
aksu yasam sitesi,aksu_yasam
alb konut akse life projesi,alb_akse_life
alemdar houses suites,alemdar_houses_suites
allak sitesi,allak
altin vadi evleri sitesi,altin_vadi
anadolu evleri,anadolu
anil siteleri,anil_siteleri
ara kat daire site,ara
aras gayrimenkulden fsm'de site,aras_gayrimenkulden_fsm_de
armoni 2 evleri,armoni_2
armonia rezidans,armonia
arpalist konutlari,arpalist
asrin saraylari 2,asrin_saraylari_2
ata sitesi,ata
atakent evleri 132. ada,atakent_evleri_132_ada
atakent evleri 152. ada,atakent_evleri_152_ada
atakoy sitesi,atakoy
ataturk caddesi yakini site,ataturk_caddesi_yakini
aurapark,aurapark
aydinkent kalici konutlari 19 ada,aydinkent_kalici_konutlari_19_ada
aydinkent konutlari,aydinkent
aykent sitesi,aykent
aylan 1 sitesi,aylan_1
aymac sitesi,aymac
ayse torunogullari sitesi,ayse_torunogullari
aytes konutlari,aytes
azat park evleri,azat_park
azka sitesi,azka
azra 6 sitesi,azra_6
bagcesme kavanium sitesi,bagcesme_kavanium
bagcesme modern evleri,bagcesme_modern
bagtepe evleri,bagtepe
bahce dubleks site,bahce_dubleks
bahcekent konutlari,bahcekent_konutlari
balaban city sitesi,balaban_city
balaban sitesi,balaban
balkent sitesi,balkent
baris kent sitesi,baris_kent
baris sitesi 2,baris_sitesi_2
baris vizyon deluxe,baris_vizyon_deluxe
bariskent sitesi,bariskent
basaran sitesi,basaran
basiskele barbaros mah. site,barbaros_mah
basiskele barbaros mh site,barbaros_mh
basiskele pasadag mah. full deniz manzarali site,pasadag_mah_full_deniz_manzarali
basiskele tinaztepede site,tinaztepede
basiskele yesilyurt mah.durupark evleri,yesilyurt_mah_durupark
basiskele yesilyurt mahallesin'de site,yesilyurt_mahallesin_de
basiskele yesilyurt site,yesilyurt
baskent sitesi,baskent
battalgazi caddesinde site,battalgazi_caddesinde
bayramiglu site,bayramiglu
bayramoglu havuzlu site,bayramoglu_havuzlu
bayramoglu zen evleri,bayramoglu_zen
begonvil konaklari,begonvil_konaklari
besballi sitesi,besballi
beydagi sitesi,evimiz_kocaeli
beykoz evleri 1,beykoz_evleri_1
beytepe konaklari,beytepe_konaklari
birr sehir 1. etap,birr_sehir_1
birr sehir 3. etap sitesi,birr_sehir_3
birr sehir projesi,birr_sehir
blue sky residence,blue_sky
bogazici evleri,bogazici
boran bloklari sitesi,boran_bloklari
boutique kartepe,boutique_kartepe
boyunegmez yasam evleri,boyunegmez_yasam
butik site,butik
cagdas kent,cagdas_kent
cagdaskent 700. ada,cagdaskent_700_ada
cami mah. manolya evleri,cami_mah_manolya
cami mah. site,cami_mah
canan sitesi,canan
carpediem kartepe,carpediem_kartepe
cayirova toki konutlari,cayirova_toki
cayirova yeni kent,cayirova_kent
cayirova'da firsat dubleks site,cayirova_da_dubleks
cb envoy'dan yesilyurt mah. site,cb_envoy_dan_yesilyurt_mah
cef city golpark,cef_city_golpark
cenedag sitesi,cenedag
ceneviz adalari projesi,ceneviz_adalari
cepni up town evleri 2. etap,cepni_up_town_evleri_2
cinar sitesi,cinar
cinarli evleri,cinarli
cinarlikent konutlari,cinarlikent
daire havuzlu site,havuzlu
damla su sitesi,damla_su
dan rezidans,dan
darica merkez'de site,darica_merkez_de
deallife'dan hasanpasada butik site,deallife_dan_hasanpasada_butik
degirmendere ervatan sitesi,degirmendere_ervatan
degirmendere konaklari,degirmendere_konaklari
degirmendere merkezi konum evim kent,degirmendere_merkezi_konum_evim_kent
deniz sitesi,deniz
deniz yildizi evleri,deniz_yildizi
derbent mh site,derbent_mh
derin'den ert. gazi mah. site,derin_den_ert_gazi_mah
derince dumlupinarda site,derince_dumlupinarda
derince park evleri,derince_park
derince yavuzsultan da site,derince_yavuzsultan_da
diamond prestige 2,diamond_prestige_2
doga evleri,doga
doga sitesi,doga
doktor kent sitesi,doktor_kent
dongelde site,dongelde
dora hill sitesi,dora_hill
dorukpark evleri,dorukpark
dosteller sitesi,dosteller
dunya bankasi konutlari 27. ada,dunya_bankasi_konutlari_27_ada
duru park evleri,duru_park
duru sitesi,duru
durupark evleri,durupark
efem konutlari,efem
ekomax'dan e.gazi asansrlu havzlu site,ekomax_dan_e_gazi_asansrlu_havzlu
ekomaxdan sinirsiz kredi asansoru site,ekomaxdan_sinirsiz_kredi_asansoru
eksioglu izmit kardelen evleri,eksioglu_kardelen
elit park sitesi,elit_park
elitium park evleri,elitium_park
elitium trio sitesi,elitium_trio
emar delux,emar_delux
