heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Doğalgaz Sobası,2,0.2743814937504782,0.2743814937504782,7377.7906991146065,7377.7906991146065,31222.53,34614.158888979975
Yok,7,0.2455341278219178,0.29613253618636637,9850.53589121425,10179.555931406343,38691.852857142854,35606.70513549792
Kombi (Doğalgaz),411,0.11322001342746164,0.095623701505705,4517.956135440181,3697.696711846609,39626.50433090024,39439.25821265389
Yerden Isıtma,479,0.10557082724470573,0.08356964308766797,4514.038351032989,3466.50189430685,42124.539373695196,41421.299739947724
Kat Kaloriferi,3,0.09651995807742758,0.09675654994153689,4263.718900756433,4102.477717521164,42044.49,37817.316946418774
Merkezi,2,0.09204258047005516,0.09204258047005516,3156.4401590156012,3156.4401590156012,36354.165,39011.99874506217
Merkezi (Pay Ölçer),10,0.07852402765726472,0.06011164290113313,3179.1378328925466,2622.5355748253824,40760.307,41725.63078822506
,3,0.07580425318526673,0.08862363297291857,3264.7983559137792,4431.181648645928,44908.426666666666,41683.87663078053
Kombi (Elektrik),2,0.07204426389140942,0.07204426389140942,2448.2527864514377,2448.2527864514377,33321.479999999996,35170.745522412246
