floor_segment,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Bahçe,67,0.14167353362849314,0.1348274021613467,6000.969027469557,5582.09393285562,41418.09552238806,39378.20086873655
En Üst Kat,163,0.12057295674033533,0.08578722928048069,4726.139683855577,3389.4012342021015,38676.08797546012,38161.24546307175
Çatı,31,0.10783247610949884,0.11158878053886997,4275.634473729071,3384.92913475143,38903.83903225807,37706.7967037092
Ara Kat,517,0.10621215203466433,0.09132366984651467,4554.9040265406065,3758.3162273247144,42414.60651837524,41905.82450296672
Zemin/Giriş,141,0.09645200132722834,0.06778028186509233,3606.696785257457,2831.7154652468525,38238.74794326241,38865.914164369715
