decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34134.67647221464,5144.657450475513
1,94,32779.16914893617,36780.972977979705,4001.8038290435434
2,90,35039.15233333334,37546.61847012711,2507.466136793781
3,92,36802.27858695651,39203.099696514844,2400.8211095583238
4,93,38664.66096774193,39471.06452058962,806.4035528476816
5,90,40912.58688888889,40479.63843547412,-432.9484534147756
6,92,43037.149456521736,41842.81338673934,-1194.3360697823985
7,92,45705.152934782614,43118.56182954107,-2586.5911052415395
8,92,49382.030000000006,44861.13843569926,-4520.891564300747
9,92,57958.77086956522,47001.72856303685,-10957.04230652837
