lat,lon,name,seq,osm_id,source
40.7505025,29.7595381,coastline,0,4521299,osm
40.7500179,29.7555168,coastline,1,4521299,osm
40.7493345,29.7602407,coastline,2,4521299,osm
40.7486532,29.7607819,coastline,3,4521299,osm
40.7474277,29.7619017,coastline,4,4521299,osm
40.7465508,29.7580674,coastline,5,4521299,osm
40.7463911,29.7584106,coastline,6,4521299,osm
40.7473781,29.7619894,coastline,7,4521299,osm
40.7474562,29.762627,coastline,8,4521299,osm
40.7460186,29.7640775,coastline,9,4521299,osm
40.7455389,29.7640486,coastline,10,4521299,osm
40.7461114,29.7648835,coastline,11,4521299,osm
40.7446564,29.7663596,coastline,12,4521299,osm
40.7442119,29.76803,coastline,13,4521299,osm
40.7429334,29.769239,coastline,14,4521299,osm
40.7423738,29.7688761,coastline,15,4521299,osm
40.7422417,29.7689515,coastline,16,4521299,osm
40.7422469,29.7701832,coastline,17,4521299,osm
40.7429012,29.7696512,coastline,18,4521299,osm
40.7429534,29.77168,coastline,19,4521299,osm
40.7428694,29.7735422,coastline,20,4521299,osm
40.7425603,29.7761486,coastline,21,4521299,osm
40.7420278,29.7787637,coastline,22,4521299,osm
40.7420634,29.7789154,coastline,23,4521299,osm
40.7419509,29.7794492,coastline,24,4521299,osm
40.7414484,29.7805768,coastline,25,4521299,osm
40.7412325,29.7811426,coastline,26,4521299,osm
40.7411126,29.7816096,coastline,27,4521299,osm
40.7411309,29.7820632,coastline,28,4521299,osm
40.7410831,29.7823465,coastline,29,4521299,osm
40.7407584,29.7830035,coastline,30,4521299,osm
40.7407318,29.7833962,coastline,31,4521299,osm
40.7407742,29.7836894,coastline,32,4521299,osm
40.7407833,29.7840162,coastline,33,4521299,osm
40.7410182,29.784488,coastline,34,4521299,osm
40.7410874,29.7847555,coastline,35,4521299,osm
40.7411535,29.7849469,coastline,36,4521299,osm
40.7412355,29.785085,coastline,37,4521299,osm
40.7414415,29.7853363,coastline,38,4521299,osm
40.7417639,29.7856077,coastline,39,4521299,osm
40.742184,29.7860425,coastline,40,4521299,osm
40.7431822,29.7864962,coastline,41,4521299,osm
40.7446456,29.7874265,coastline,42,4521299,osm
40.7454619,29.7884279,coastline,43,4521299,osm
40.7456686,29.7891951,coastline,44,4521299,osm
40.7456204,29.7895353,coastline,45,4521299,osm
40.7454702,29.7895401,coastline,46,4521299,osm
40.7454055,29.7898189,coastline,47,4521299,osm
40.7455875,29.7897499,coastline,48,4521299,osm
40.7456354,29.7901167,coastline,49,4521299,osm
40.7456187,29.7907111,coastline,50,4521299,osm
40.7454945,29.791287,coastline,51,4521299,osm
40.7450055,29.7922903,coastline,52,4521299,osm
40.7444158,29.7933588,coastline,53,4521299,osm
40.7661996,29.4227644,coastline,54,4521383,osm
40.76611,29.4230832,coastline,55,4521383,osm
40.7666505,29.4237245,coastline,56,4521383,osm
40.7674848,29.4244127,coastline,57,4521383,osm
40.767617,29.4246629,coastline,58,4521383,osm
40.7678669,29.4249508,coastline,59,4521383,osm
40.7680484,29.4253384,coastline,60,4521383,osm
40.7682026,29.4258824,coastline,61,4521383,osm
40.7681043,29.4268131,coastline,62,4521383,osm
40.7683093,29.4279025,coastline,63,4521383,osm
40.7684387,29.4278417,coastline,64,4521383,osm
40.7683395,29.4273357,coastline,65,4521383,osm
40.7683425,29.4270707,coastline,66,4521383,osm
40.7683321,29.4262472,coastline,67,4521383,osm
40.7686047,29.4263068,coastline,68,4521383,osm
40.7689989,29.42681,coastline,69,4521383,osm
40.7692306,29.4275551,coastline,70,4521383,osm
40.7689933,29.4282026,coastline,71,4521383,osm
40.768749,29.4281637,coastline,72,4521383,osm
40.7687095,29.4282658,coastline,73,4521383,osm
40.7690446,29.4283104,coastline,74,4521383,osm
40.7691755,29.4286815,coastline,75,4521383,osm
40.7690759,29.429537,coastline,76,4521383,osm
40.7692403,29.4299634,coastline,77,4521383,osm
40.769647,29.4311808,coastline,78,4521383,osm
40.7702306,29.4323413,coastline,79,4521383,osm
40.7702988,29.4333023,coastline,80,4521383,osm
40.7703052,29.4338142,coastline,81,4521383,osm
40.7704868,29.4356977,coastline,82,4521383,osm
40.7703789,29.4358605,coastline,83,4521383,osm
40.770423,29.4357793,coastline,84,4521383,osm
40.7706196,29.4361366,coastline,85,4521383,osm
40.7709511,29.4371273,coastline,86,4521383,osm
40.7710982,29.4370656,coastline,87,4521383,osm
40.771369,29.4375253,coastline,88,4521383,osm
40.7715187,29.4390784,coastline,89,4521383,osm
40.7713132,29.4400096,coastline,90,4521383,osm
40.7708781,29.4402753,coastline,91,4521383,osm
40.7707217,29.4405671,coastline,92,4521383,osm
40.7707741,29.4407232,coastline,93,4521383,osm
40.7705441,29.441061,coastline,94,4521383,osm
40.7704004,29.4411788,coastline,95,4521383,osm
40.7704469,29.4413383,coastline,96,4521383,osm
40.7703528,29.4416802,coastline,97,4521383,osm
40.7702444,29.441882,coastline,98,4521383,osm
40.7702114,29.442001,coastline,99,4521383,osm
40.7701312,29.4421165,coastline,100,4521383,osm
40.7700791,29.4422403,coastline,101,4521383,osm
40.7698782,29.442509,coastline,102,4521383,osm
40.7698233,29.4427056,coastline,103,4521383,osm
40.769742,29.4429928,coastline,104,4521383,osm
40.769586,29.4436152,coastline,105,4521383,osm
40.769503,29.4436267,coastline,106,4521383,osm
40.7695839,29.4437268,coastline,107,4521383,osm
40.7716788,29.5497769,coastline,108,4521411,osm
40.7716648,29.550252,coastline,109,4521411,osm
40.7720587,29.5518372,coastline,110,4521411,osm
40.7721688,29.5530867,coastline,111,4521411,osm
40.7721353,29.5544268,coastline,112,4521411,osm
40.7718928,29.5552683,coastline,113,4521411,osm
40.7718454,29.5558734,coastline,114,4521411,osm
40.7718136,29.5561865,coastline,115,4521411,osm
40.7711204,29.5579089,coastline,116,4521411,osm
40.7710207,29.5585868,coastline,117,4521411,osm
40.7701278,29.561335,coastline,118,4521411,osm
40.7695456,29.5626689,coastline,119,4521411,osm
40.7690862,29.5638118,coastline,120,4521411,osm
40.7682479,29.5661177,coastline,121,4521411,osm
40.7669265,29.5680428,coastline,122,4521411,osm
40.7666812,29.5684937,coastline,123,4521411,osm
40.7667372,29.5687892,coastline,124,4521411,osm
40.7668359,29.5688035,coastline,125,4521411,osm
40.7669308,29.568513,coastline,126,4521411,osm
40.7672299,29.5682392,coastline,127,4521411,osm
40.7676625,29.5686089,coastline,128,4521411,osm
40.7669531,29.5691661,coastline,129,4521411,osm
40.7667299,29.5691025,coastline,130,4521411,osm
40.7666311,29.5692502,coastline,131,4521411,osm
40.7666246,29.5694529,coastline,132,4521411,osm
40.7667015,29.5696183,coastline,133,4521411,osm
40.7667717,29.5697743,coastline,134,4521411,osm
40.7665286,29.5713852,coastline,135,4521411,osm
40.7665535,29.5716552,coastline,136,4521411,osm
40.7669664,29.5722561,coastline,137,4521411,osm
40.7668061,29.573248,coastline,138,4521411,osm
40.7668848,29.5725138,coastline,139,4521411,osm
40.76749,29.5728686,coastline,140,4521411,osm
40.7675144,29.5738161,coastline,141,4521411,osm
40.7677797,29.576605,coastline,142,4521411,osm
40.7686312,29.5794462,coastline,143,4521411,osm
40.7693426,29.5807406,coastline,144,4521411,osm
40.77096,29.5834445,coastline,145,4521411,osm
40.7712782,29.5843838,coastline,146,4521411,osm
40.7711905,29.5847644,coastline,147,4521411,osm
40.7711897,29.5851176,coastline,148,4521411,osm
40.771658,29.5859766,coastline,149,4521411,osm
40.7720492,29.5867963,coastline,150,4521411,osm
40.7722567,29.5872851,coastline,151,4521411,osm
40.7730481,29.5889188,coastline,152,4521411,osm
40.7734575,29.5904419,coastline,153,4521411,osm
40.7175437,29.8778826,coastline,154,4521432,osm
40.7174522,29.877381,coastline,155,4521432,osm
40.7170829,29.8770002,coastline,156,4521432,osm
40.7164614,29.8769522,coastline,157,4521432,osm
40.715902,29.8770666,coastline,158,4521432,osm
40.7156894,29.8769824,coastline,159,4521432,osm
40.7159093,29.8756496,coastline,160,4521432,osm
40.7163007,29.8753762,coastline,161,4521432,osm
40.7166566,29.8751606,coastline,162,4521432,osm
40.7168185,29.8745336,coastline,163,4521432,osm
40.7167195,29.8738874,coastline,164,4521432,osm
40.716393,29.8732475,coastline,165,4521432,osm
40.7165805,29.8729285,coastline,166,4521432,osm
40.7163099,29.8725361,coastline,167,4521432,osm
40.7158228,29.872298,coastline,168,4521432,osm
40.7160995,29.8716351,coastline,169,4521432,osm
40.7163707,29.8715537,coastline,170,4521432,osm
40.7166638,29.8718337,coastline,171,4521432,osm
40.7171688,29.8718714,coastline,172,4521432,osm
40.7173871,29.8715472,coastline,173,4521432,osm
40.7177179,29.8715237,coastline,174,4521432,osm
40.7179587,29.8719553,coastline,175,4521432,osm
40.7183131,29.8719359,coastline,176,4521432,osm
40.7186156,29.87166,coastline,177,4521432,osm
40.7192175,29.8757955,coastline,178,4521432,osm
40.7202673,29.875518,coastline,179,4521432,osm
40.7207841,29.87721,coastline,180,4521432,osm
40.7237524,29.8775474,coastline,181,4521432,osm
40.719409,29.8715769,coastline,182,4521432,osm
40.7195044,29.8704512,coastline,183,4521432,osm
40.7200304,29.8697895,coastline,184,4521432,osm
40.7202777,29.8699378,coastline,185,4521432,osm
40.7209634,29.8703472,coastline,186,4521432,osm
40.7213765,29.870712,coastline,187,4521432,osm
40.7216077,29.8711047,coastline,188,4521432,osm
40.7215422,29.8715056,coastline,189,4521432,osm
40.7217337,29.8721796,coastline,190,4521432,osm
40.7218706,29.8730005,coastline,191,4521432,osm
40.7218606,29.8736605,coastline,192,4521432,osm
40.7220132,29.8738052,coastline,193,4521432,osm
40.7242109,29.873179,coastline,194,4521432,osm
40.7268514,29.869629,coastline,195,4521432,osm
40.728397,29.8679849,coastline,196,4521432,osm
40.7282751,29.8668369,coastline,197,4521432,osm
40.7276013,29.8666827,coastline,198,4521432,osm
40.7283642,29.8651673,coastline,199,4521432,osm
40.7282344,29.8629209,coastline,200,4521432,osm
40.728321,29.8620438,coastline,201,4521432,osm
40.7281942,29.8615685,coastline,202,4521432,osm
40.7278795,29.8615536,coastline,203,4521432,osm
40.7274752,29.8614075,coastline,204,4521432,osm
40.7273428,29.8603727,coastline,205,4521432,osm
40.7272146,29.8597082,coastline,206,4521432,osm
40.7605458,29.9182564,coastline,207,4521453,osm
40.7605078,29.9183376,coastline,208,4521453,osm
40.7604183,29.9185758,coastline,209,4521453,osm
40.7602798,29.9189564,coastline,210,4521453,osm
40.7601782,29.9192353,coastline,211,4521453,osm
40.7600854,29.9194738,coastline,212,4521453,osm
40.7600377,29.9196089,coastline,213,4521453,osm
40.7600399,29.9196443,coastline,214,4521453,osm
40.7600798,29.9196716,coastline,215,4521453,osm
40.7600955,29.9196815,coastline,216,4521453,osm
40.7601477,29.9197128,coastline,217,4521453,osm
40.7603192,29.9198157,coastline,218,4521453,osm
40.7604063,29.9198679,coastline,219,4521453,osm
40.7603844,29.9200618,coastline,220,4521453,osm
40.7603737,29.920059,coastline,221,4521453,osm
40.7594636,29.9198229,coastline,222,4521453,osm
40.7588912,29.9196932,coastline,223,4521453,osm
40.758647,29.9215756,coastline,224,4521453,osm
40.7587366,29.9215945,coastline,225,4521453,osm
40.758969,29.9198268,coastline,226,4521453,osm
40.7594093,29.9199315,coastline,227,4521453,osm
40.7592496,29.9211102,coastline,228,4521453,osm
40.7593076,29.9211264,coastline,229,4521453,osm
40.7594767,29.9199402,coastline,230,4521453,osm
40.7598976,29.9200474,coastline,231,4521453,osm
40.7597314,29.921228,coastline,232,4521453,osm
40.7597948,29.9212435,coastline,233,4521453,osm
40.7599619,29.9200725,coastline,234,4521453,osm
40.7600132,29.9200854,coastline,235,4521453,osm
40.7601215,29.9201038,coastline,236,4521453,osm
40.7603206,29.9201482,coastline,237,4521453,osm
40.7603599,29.9201573,coastline,238,4521453,osm
40.7604415,29.9201761,coastline,239,4521453,osm
40.7603629,29.9207765,coastline,240,4521453,osm
40.7602792,29.9213777,coastline,241,4521453,osm
40.7601733,29.9220935,coastline,242,4521453,osm
40.7601148,29.9225119,coastline,243,4521453,osm
40.7600738,29.9229103,coastline,244,4521453,osm
40.7600298,29.9232748,coastline,245,4521453,osm
40.7599901,29.9232691,coastline,246,4521453,osm
40.7596385,29.923189,coastline,247,4521453,osm
40.7596315,29.9232465,coastline,248,4521453,osm
40.7596235,29.9233116,coastline,249,4521453,osm
40.7600155,29.9233909,coastline,250,4521453,osm
40.759924,29.9240415,coastline,251,4521453,osm
40.7598936,29.9242942,coastline,252,4521453,osm
40.7598904,29.9245331,coastline,253,4521453,osm
40.7598871,29.924781,coastline,254,4521453,osm
40.7598867,29.9248081,coastline,255,4521453,osm
40.7149271,29.9109171,coastline,256,4521495,osm
40.7149208,29.9108798,coastline,257,4521495,osm
40.7152191,29.9108117,coastline,258,4521495,osm
40.7153322,29.9108312,coastline,259,4521495,osm
40.7153874,29.9107879,coastline,260,4521495,osm
40.7154027,29.9107325,coastline,261,4521495,osm
40.715372,29.9105765,coastline,262,4521495,osm
40.7153263,29.9104186,coastline,263,4521495,osm
40.7152605,29.9103615,coastline,264,4521495,osm
40.7151791,29.9101302,coastline,265,4521495,osm
40.7151016,29.9097179,coastline,266,4521495,osm
40.7149816,29.9093587,coastline,267,4521495,osm
40.7149094,29.9091308,coastline,268,4521495,osm
40.7148249,29.9089148,coastline,269,4521495,osm
40.7147249,29.9086783,coastline,270,4521495,osm
40.7146083,29.9083714,coastline,271,4521495,osm
40.7144934,29.9080158,coastline,272,4521495,osm
40.7144434,29.9075663,coastline,273,4521495,osm
40.7143537,29.9071847,coastline,274,4521495,osm
40.7143289,29.9067433,coastline,275,4521495,osm
40.7143028,29.9061661,coastline,276,4521495,osm
40.7142901,29.905937,coastline,277,4521495,osm
40.7141603,29.9057894,coastline,278,4521495,osm
40.7139833,29.9057432,coastline,279,4521495,osm
40.7139085,29.9057383,coastline,280,4521495,osm
40.7137584,29.9056888,coastline,281,4521495,osm
40.713916,29.9046804,coastline,282,4521495,osm
40.7140807,29.9042715,coastline,283,4521495,osm
40.7144074,29.9033896,coastline,284,4521495,osm
40.714822,29.9025631,coastline,285,4521495,osm
40.7151412,29.9021087,coastline,286,4521495,osm
40.7152405,29.9022402,coastline,287,4521495,osm
40.7153388,29.902208,coastline,288,4521495,osm
40.7155289,29.9019746,coastline,289,4521495,osm
40.7155418,29.9019496,coastline,290,4521495,osm
40.7156509,29.9017378,coastline,291,4521495,osm
40.7157231,29.9016754,coastline,292,4521495,osm
40.7158127,29.9016602,coastline,293,4521495,osm
40.7161014,29.9016994,coastline,294,4521495,osm
40.716187,29.9016238,coastline,295,4521495,osm
40.7160269,29.9015126,coastline,296,4521495,osm
40.7159991,29.9014246,coastline,297,4521495,osm
40.7160088,29.9013401,coastline,298,4521495,osm
40.7160462,29.9011547,coastline,299,4521495,osm
40.7163009,29.9007195,coastline,300,4521495,osm
40.7166619,29.9001772,coastline,301,4521495,osm
40.7167431,29.8998601,coastline,302,4521495,osm
40.7167874,29.8995231,coastline,303,4521495,osm
40.7167967,29.8993315,coastline,304,4521495,osm
40.7168218,29.899245,coastline,305,4521495,osm
40.7168693,29.8991688,coastline,306,4521495,osm
40.7170937,29.8990958,coastline,307,4521495,osm
40.7172246,29.8990002,coastline,308,4521495,osm
40.7174359,29.8985565,coastline,309,4521495,osm
40.7175437,29.8979563,coastline,310,4521495,osm
40.7174961,29.897349,coastline,311,4521495,osm
40.7173171,29.8965028,coastline,312,4521495,osm
40.7174904,29.8964414,coastline,313,4521495,osm
40.71728,29.895927,coastline,314,4521495,osm
40.7172298,29.8956179,coastline,315,4521495,osm
40.7170048,29.8946716,coastline,316,4521495,osm
40.7171077,29.8945274,coastline,317,4521495,osm
40.7173119,29.8941675,coastline,318,4521495,osm
40.7173301,29.8940988,coastline,319,4521495,osm
40.7173279,29.8940302,coastline,320,4521495,osm
40.717305,29.8939372,coastline,321,4521495,osm
40.7399481,29.9412101,coastline,322,4521514,osm
40.7396118,29.9413451,coastline,323,4521514,osm
40.7393894,29.9413998,coastline,324,4521514,osm
40.7379473,29.9409817,coastline,325,4521514,osm
40.7364957,29.9403708,coastline,326,4521514,osm
40.7363205,29.9401647,coastline,327,4521514,osm
40.7361801,29.9399672,coastline,328,4521514,osm
40.7359637,29.9396627,coastline,329,4521514,osm
40.7358604,29.9395173,coastline,330,4521514,osm
40.7357403,29.939312,coastline,331,4521514,osm
40.7357217,29.9390826,coastline,332,4521514,osm
