osm_id,osm_type,lat,lon,category,subcategory,name,amenity,shop,leisure,highway,public_transport,railway
3126041474,node,40.7014295,29.6665855,transport,bus_stop,,,,,bus_stop,,
3126045443,node,40.7016879,29.66661,transport,bus_stop,,,,,bus_stop,,
3126156875,node,40.7050906,29.6845559,daily,restaurant,Kadirin Yeri,restaurant,,,,,
3678813820,node,40.7640497,29.9330991,daily,restaurant,Karadeniz Pidecisi,restaurant,,,,,
3678813821,node,40.7641287,29.9336066,daily,cafe,Cafe De La Rue,cafe,,,,,
3678816347,node,40.7641794,29.933952,daily,cafe,David People,cafe,,,,,
3700570802,node,40.7648089,29.9240893,daily,supermarket,A101,,supermarket,,,,
3700588467,node,40.7671818,29.9680091,daily,convenience,Opet Fullmarket,,convenience,,,,
3734860658,node,40.7676481,29.9374218,health,pharmacy,Elif Eczanesi,pharmacy,,,,,
3734860660,node,40.7672896,29.9374903,health,pharmacy,Yılmaz Eczanesi,pharmacy,,,,,
3734860661,node,40.7672562,29.9374964,health,pharmacy,Şifa Eczanesi,pharmacy,,,,,
3734860665,node,40.7670785,29.937526,health,pharmacy,Delilbaşı Eczanesi,pharmacy,,,,,
3734860666,node,40.7667781,29.9375988,health,pharmacy,Yeni Eczane,pharmacy,,,,,
3734866185,node,40.7667011,29.9376173,health,pharmacy,Maruf Eczanesi,pharmacy,,,,,
3734866190,node,40.766188,29.9379612,health,pharmacy,Eczane Zeliha,pharmacy,,,,,
3734892440,node,40.7644251,29.9009304,daily,cafe,Bayramoğlu Cafe & Market,cafe,,,,,
3740924324,node,40.7645657,29.9362851,daily,cafe,Kahve Dükkanı,cafe,,,,,
3762317834,node,40.768405,29.4235675,daily,cafe,,cafe,,,,,
3762318174,node,40.7683197,29.4234441,daily,restaurant,,restaurant,,,,,
3762318192,node,40.6908329,29.4345632,daily,cafe,,cafe,,,,,
3763232670,node,40.7668809,29.9276229,daily,supermarket,A101,,supermarket,,,,
3803112791,node,40.7791045,29.5235588,daily,supermarket,BİM,,supermarket,,,,
3824094759,node,40.7505036,30.0223508,daily,supermarket,BİM,,supermarket,,,,
3824196583,node,40.7542807,30.0231892,daily,bank,Ziraat Bankası,bank,,,,,
3824196584,node,40.7529488,30.0234209,daily,bank,Finansbank,bank,,,,,
3824196585,node,40.7530545,30.0231097,daily,restaurant,Halil İbrahim Sofrası,restaurant,,,,,
3824226387,node,40.7673687,29.9599409,daily,supermarket,BİM,,supermarket,,,,
3824226420,node,40.7699844,29.960671,health,pharmacy,Gümüş Eczanesi,pharmacy,,,,,
3824231562,node,40.7702071,29.9606623,health,pharmacy,Gültaç Eczanesi,pharmacy,,,,,
3824231563,node,40.7702991,29.9606464,health,pharmacy,Saygılı Eczanesi,pharmacy,,,,,
3824231564,node,40.7703291,29.9608802,daily,atm,Akbank ATM,atm,,,,,
4073197792,node,40.7003851,30.1422435,health,clinic,Maşukiye Aile Sağlık Merkezi,clinic,,,,,
4124136398,node,40.7548727,29.7960252,daily,supermarket,Kasarcı market,,supermarket,,,,
4124157789,node,40.7510298,29.7916687,daily,supermarket,Halkmar,,supermarket,,,,
4124157989,node,40.7505846,29.7899552,daily,supermarket,BİM,,supermarket,,,,
4124157990,node,40.7574729,29.7962702,daily,supermarket,BİM,,supermarket,,,,
4124158389,node,40.7529841,29.7947879,daily,convenience,,,convenience,,,,
4133895819,node,40.6992159,29.8152653,education,school,cahit külebi,school,,,,,
4139152689,node,40.7002567,29.8195317,daily,marketplace,Pazar Yeri,marketplace,,,,,
4192312548,node,40.8776788,29.4833901,daily,restaurant,Doga ciftligi,restaurant,,,,,
4212303093,node,40.7635593,29.9254906,daily,supermarket,Nizamettin Çetin,,supermarket,,,,
4213905090,node,40.6968103,30.0530983,daily,restaurant,Küçük Ev Restaurant ,restaurant,,,,,
4230294590,node,40.7410724,30.043726,daily,supermarket,Şok,,supermarket,,,,
4294584393,node,40.765858,29.7841443,daily,convenience,Altemur Market,,convenience,,,,
4294614290,node,40.7657455,29.7843339,daily,supermarket,BİM,,supermarket,,,,
4294813590,node,40.7659616,29.784289,daily,atm,,atm,,,,,
4295095168,node,40.8281422,29.4217598,daily,supermarket,Şok,,supermarket,,,,
4338040390,node,40.903622,29.4992399,education,school,Gayrettepe Rotary Kulübü Ortaokulu,school,,,,,
4370492389,node,40.8121412,29.4510059,daily,supermarket,Hakmar,,supermarket,,,,
4538589102,node,40.795384,29.4411723,daily,convenience,Koçtaş,,convenience,,,,
