county,district,test_name,base_prediction_tl_m2,variant_prediction_tl_m2,difference_tl_m2,difference_pct,expected_direction,passed_direction_check
İzmit,missing,new_vs_old,175335.43252598873,158546.8073239804,-16788.62520200832,-0.09575146882829778,a > b,False
İzmit,missing,elevator,145281.47972591757,148519.4719245829,3237.9921986653353,0.02228771488818813,a > b,True
İzmit,missing,site_inside,145281.47972591757,146361.65818832055,1080.1784624029824,0.00743507337921396,a >= b,True
İzmit,missing,parking,145281.47972591757,144871.14073538312,-410.338990534452,-0.0028244411559448716,a > b,False
İzmit,missing,heating,161675.2953314399,146202.91016677296,-15472.38516466695,-0.0957003674120281,a > b,False
İzmit,missing,floor,139979.2583295424,145281.47972591757,5302.2213963751565,0.03787862187333886,a > b,True
İzmit,missing,net_gross,140052.07462071063,145202.27656117032,5150.201940459694,0.0367734783965713,a > b,True
İzmit,missing,total_quality,184805.0575921568,167718.49848408272,-17086.559108074085,-0.09245720507163893,a > b,False
Başiskele,Yeşilyurt Mh.,new_vs_old,33085.85067467203,40068.250096450036,6982.3994217780055,0.21103883622140598,a > b,True
Başiskele,Yeşilyurt Mh.,elevator,37656.07018509532,38867.034068765184,1210.963883669865,0.032158530556095515,a > b,True
Başiskele,Yeşilyurt Mh.,site_inside,37656.07018509532,38658.752652537994,1002.6824674426753,0.02662737939763953,a >= b,True
Başiskele,Yeşilyurt Mh.,parking,37656.07018509532,38055.279979942374,399.2097948470546,0.01060147256165531,a > b,True
Başiskele,Yeşilyurt Mh.,heating,36169.808764818394,37894.17580246791,1724.3670376495138,0.047674209417628136,a > b,True
Başiskele,Yeşilyurt Mh.,floor,35230.98029282926,37656.07018509532,2425.0898922660563,0.06883401688256875,a > b,True
Başiskele,Yeşilyurt Mh.,net_gross,36291.24518507904,37627.59575639496,1336.3505713159248,0.0368229462643337,a > b,True
Başiskele,Yeşilyurt Mh.,total_quality,34623.532377377036,44659.64852186671,10036.116144489672,0.28986401604266276,a > b,True
Gölcük,missing,new_vs_old,175335.43252598873,158546.8073239804,-16788.62520200832,-0.09575146882829778,a > b,False
Gölcük,missing,elevator,145281.47972591757,148519.4719245829,3237.9921986653353,0.02228771488818813,a > b,True
Gölcük,missing,site_inside,145281.47972591757,146361.65818832055,1080.1784624029824,0.00743507337921396,a >= b,True
Gölcük,missing,parking,145281.47972591757,144871.14073538312,-410.338990534452,-0.0028244411559448716,a > b,False
Gölcük,missing,heating,161675.2953314399,146202.91016677296,-15472.38516466695,-0.0957003674120281,a > b,False
Gölcük,missing,floor,139979.2583295424,145281.47972591757,5302.2213963751565,0.03787862187333886,a > b,True
Gölcük,missing,net_gross,140052.07462071063,145202.27656117032,5150.201940459694,0.0367734783965713,a > b,True
Gölcük,missing,total_quality,184805.0575921568,167718.49848408272,-17086.559108074085,-0.09245720507163893,a > b,False
Karamürsel,missing,new_vs_old,175335.43252598873,158546.8073239804,-16788.62520200832,-0.09575146882829778,a > b,False
Karamürsel,missing,elevator,145281.47972591757,148519.4719245829,3237.9921986653353,0.02228771488818813,a > b,True
Karamürsel,missing,site_inside,145281.47972591757,146361.65818832055,1080.1784624029824,0.00743507337921396,a >= b,True
Karamürsel,missing,parking,145281.47972591757,144871.14073538312,-410.338990534452,-0.0028244411559448716,a > b,False
Karamürsel,missing,heating,161675.2953314399,146202.91016677296,-15472.38516466695,-0.0957003674120281,a > b,False
Karamürsel,missing,floor,139979.2583295424,145281.47972591757,5302.2213963751565,0.03787862187333886,a > b,True
Karamürsel,missing,net_gross,140052.07462071063,145202.27656117032,5150.201940459694,0.0367734783965713,a > b,True
Karamürsel,missing,total_quality,184805.0575921568,167718.49848408272,-17086.559108074085,-0.09245720507163893,a > b,False
