decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34032.059104764194,5042.040083025061
1,94,32779.16914893617,36673.17233223168,3894.0031832955083
2,90,35039.15233333334,37524.17478132832,2485.0224479949848
3,92,36802.27858695651,39222.07367320646,2419.795086249935
4,93,38664.66096774193,39470.89158022243,806.2306124804932
5,90,40912.58688888889,40514.39017485287,-398.19671403601086
6,92,43037.149456521736,41811.38356884404,-1225.7658876777057
7,92,45705.152934782614,43290.804805997715,-2414.3481287848876
8,92,49382.030000000006,45110.43306628979,-4271.596933710207
9,92,57958.77086956522,47296.33314097954,-10662.437728585674
