decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,33000.02605024407,5212.866841204527
1,174,31543.124942528735,34555.62865968431,3012.503717155573
2,176,33617.061534090906,35899.65389973025,2282.5923656393356
3,174,35227.52902298851,36585.8865468746,1358.3575238860951
4,176,36766.70914772727,37567.40102194695,800.6918742196737
5,175,38721.52542857143,38467.646575398074,-253.8788531733552
6,175,41049.114285714284,39853.38535519093,-1195.7289305233546
7,175,43378.922857142854,41372.08164155569,-2006.841215587165
8,175,46825.67697142858,43171.994888231784,-3653.6820831967816
9,176,55005.39056818183,45494.57469544558,-9510.815872736235
