room_count,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
5+2,2,8.5,8.5,0,0,0.9737998693417966,37715.665
6+1,1,7.0,7.0,0,0,1.408150213328111,52777.78
4.5+1,4,6.0,6.0,0,0,0.8348691552386769,33310.479999999996
1.5+1,1,5.0,5.0,0,0,1.1224837454201455,42482.52
2+2,1,5.0,5.0,0,0,1.1485228950250292,42400.0
3+2,1,5.0,5.0,0,0,0.9982445062589846,36267.61
5+1,13,4.384615384615385,5.0,0,0,0.8229371538831672,31252.266153846154
2.5+1,3,4.0,0.0,0,0,0.9794973978869749,45074.073333333334
4+2,2,2.5,2.5,0,0,0.8248898601373384,30228.07
1+1,51,2.4901960784313726,0.0,0,0,1.1718123699459724,47914.083333333336
4+1,215,2.4604651162790696,0.0,0,0,0.9688754486913647,36431.90437209303
3+1,864,1.6215277777777777,0.0,1,0,0.9806109735022281,38064.03366898148
2+1,593,1.5868465430016863,0.0,0,0,1.0041597371172206,40657.69392917369
3.5+1,2,0.0,0.0,0,0,1.2581155906798416,46103.005
