floor_segment,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Bahçe,203,0.11777230318658287,0.0948255029157919,4611.819586895012,3469.583454787702,38358.61842364532,37539.56122943585
Çatı,80,0.11479609264887772,0.10720527366999827,4332.019144268614,3900.8513092173453,37402.021875,36950.00715392169
Zemin/Giriş,203,0.10584134512437114,0.07569492104797124,3981.945091233016,2897.528549599607,37993.84083743842,38063.37213689394
En Üst Kat,472,0.10359986430583235,0.07452030494731302,3849.0746890964383,2711.009550165152,37355.63733050848,36989.2860599567
Ara Kat,794,0.09913742667644222,0.08049445230846929,4058.16748036272,3239.2923869756705,40550.38850125945,40130.40525259547
Bodrum,1,0.07960711582991353,0.07960711582991353,2388.213474897406,2388.213474897406,30000.0,32388.213474897406
