site_project_id,n,mean_actual,mean_pred,mean_residual
zeray_gunesi,17,42846.72529411764,44517.20547849099,1670.480184373346
kullar_tepecik_de,1,38952.38,40787.96418535355,1835.584185353553
marmara_elit,3,32854.166666666664,34803.54737538833,1949.3807087216603
clover_premium,1,42812.5,44776.25648153819,1963.756481538192
bahcekent_konutlari,14,35091.55,37068.80843322279,1977.2584332227864
basiskele_de,1,34682.08,36755.73681137493,2073.656811374931
aydinkent_kalici_konutlari_20_ada,1,34000.0,36307.50061028699,2307.5006102869884
durupark,1,41739.13,44198.168428790166,2459.038428790169
terasta_life,1,36363.64,38848.87453701277,2485.234537012773
altinkent,1,36153.85,38725.8171379143,2571.9671379143037
kullar_da_ultra_ebeveyn_banyolu,1,35555.56,38175.51196406601,2619.9519640660146
seyri_vadi,1,38148.15,40798.48910509494,2650.339105094936
my_house_yuvacik,3,36546.29666666667,39247.80651019416,2701.5098435274945
my_yaka,2,38444.445,41226.07858713174,2781.6335871317424
barbaros_mh,1,42253.52,45254.55130383843,3001.031303838434
cb_mahall_den_tinaztepede,1,31750.0,34832.35129964317,3082.3512996431673
duru_park,2,34883.335,38209.3222885446,3325.9872885446057
esila_park,4,41704.61,45049.98429150642,3345.3742915064195
bloklu_butik,1,34160.0,37581.86738809354,3421.8673880935385
sahibinden,1,38823.53,42336.69494053611,3513.1649405361095
sembol_kent,5,34497.23,38125.73418550177,3628.504185501771
iskar_elit_kent,2,36703.020000000004,40496.93729568629,3793.9172956862967
altinkent_kalici_konutlari_6_ada,1,28695.65,32499.58581377834,3803.9358137783383
vadi_yuvacik,1,37142.86,40981.29685345425,3838.436853454252
emar_delux_yuvacik,2,35000.0,39044.984669514626,4044.984669514626
aydinkent,1,27727.27,31822.561854925592,4095.291854925592
yuvacik_manar,1,43846.15,48091.6825828333,4245.532582833301
yuksek_giris_butik,1,35000.0,39502.746323073545,4502.746323073545
kuba,1,28461.54,33046.10751263796,4584.567512637957
tanta_emlak_tan,1,30357.14,35060.56982508711,4703.429825087107
yuvana_evleri,5,32896.398,37751.72748439499,4855.329484394997
barbaros,1,41588.79,46458.75802778501,4869.968027785006
fatih_mahallesinde,2,44005.715,48925.29774206598,4919.582742065981
doga,2,35457.425,40431.00593930083,4973.580939300824
fatih_mah,1,28275.86,33332.60043163574,5056.740431635742
ritim_vadi_evleri,4,33227.01,38383.68063139927,5156.6706313992745
yesilyurt_mahallesin_de,1,32708.33,37910.924098329364,5202.594098329362
elitium_trio,3,37121.21333333333,42495.86366772073,5374.650334387396
mavi_yesil_park,1,28361.34,33741.295406993,5379.955406992998
yaylacik_mh_de_havuzlu,1,46333.33,51886.09397209897,5552.763972098968
kullar_da_prestijli_yasam,1,29629.63,35224.406027592195,5594.776027592194
altin_vadi,2,30801.08,36428.718790083665,5627.638790083665
dream_gardens,1,27954.55,34516.667445741725,6562.1174457417255
ust_deniz_manzarali_asansorlu,1,32379.31,39616.24025096619,7236.93025096619
rose_garden,1,36363.64,43772.29175173202,7408.651751732017
yuvacik_doga,1,32333.33,39787.49428698459,7454.164286984589
kardelen,1,36896.55,44664.214075667216,7767.664075667213
kw_arven_den_ted_kolejine_komsu_havuzlu,1,30937.5,38754.04799255531,7816.547992555308
asansorlu_butik,1,39600.0,48194.375480764225,8594.375480764225
akasya_modern,1,28250.0,37194.51005969793,8944.510059697932
naturapark,1,25294.12,34405.06197749713,9110.941977497128
invest_globalden_zeray_kent,1,33333.33,42532.341147231855,9199.011147231853
ust_park_atakent,1,37241.38,46911.32522904459,9669.945229044592
barbaros_mah,1,30962.34,41063.41910599869,10101.079105998691
bizim_evler,1,38750.0,49014.844908830426,10264.844908830426
may_city,1,33148.15,44228.350657095565,11080.200657095564
kullar_tepecik_mah,1,30937.5,42155.135267572085,11217.635267572085
mehmet_akif_ersoy,1,22500.0,46632.7803799465,24132.780379946496
