decile,n,mean_actual,mean_pred,mean_bias
0,93,28960.043225806447,34257.64951014304,5297.6062843365935
1,92,32710.277826086956,36552.417354120065,3842.1395280331135
2,92,34953.770760869564,37428.196093113904,2474.4253322443465
3,94,36765.46297872341,39438.17335169813,2672.7103729747278
4,90,38611.207111111115,39731.459979439795,1120.2528683286807
5,92,40833.23836956522,40740.93694324972,-92.30142631549927
6,92,42986.52804347826,41553.83469885653,-1432.693344621734
7,92,45635.737499999996,42884.23221679082,-2751.505283209182
8,92,49293.5947826087,44289.37088094471,-5004.223901663979
9,93,57637.17537634408,46762.84163369238,-10874.333742651703
