room_count,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
6+1,1,7.0,7.0,0,0,1.3439832316205667,52777.78
4.5+1,2,6.0,6.0,0,0,0.8835492325044068,34219.0
5+1,6,5.5,7.0,0,0,0.8354130749727676,36316.30333333334
2+2,1,5.0,5.0,0,0,1.2168712262224681,42400.0
3+2,1,5.0,5.0,0,0,0.9950433281751845,36267.61
4+2,1,5.0,5.0,0,0,0.9126812807981893,34666.67
3.5+1,2,4.0,4.0,0,0,1.6142590367423488,61497.96
4+1,80,2.0625,0.0,0,0,0.9676555182738711,38162.069875
2+1,385,1.8025974025974025,0.0,0,0,1.0142053700306681,42287.90896103896
3+1,403,1.6004962779156326,0.0,0,0,0.98756909650797,39150.73022332506
1+1,39,1.564102564102564,0.0,0,0,1.171268932907904,49346.523589743585
2.5+1,1,0.0,0.0,0,0,0.9794973978869749,43000.0
