m2_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
200+,43,4.0,5.0,0,0,0.9542331711047594,38271.07372093023
0-75,35,2.6857142857142855,0.0,0,0,1.2514858504764665,53130.34457142857
126-150,212,1.7924528301886793,0.0,0,0,0.9881197942733575,39235.62820754717
76-100,232,1.7586206896551724,0.0,0,0,1.0198124013405008,43785.19741379311
101-125,242,1.5041322314049588,0.0,0,0,0.9893515849054519,39855.12661157025
151-200,158,1.4050632911392404,0.0,0,0,0.9674256294066783,38153.387278481016
