room_count,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
7+2,5,12.2,12.0,0,0,0.7508882854684931,52784.812
8+2,1,12.0,12.0,0,0,0.7719335696717784,40000.0
6+2,10,11.5,9.5,0,0,0.8465771835659142,32891.551
5+2,15,10.666666666666666,7.0,1,0,0.7919438949699675,39977.18066666667
2+2,3,10.0,7.0,0,0,0.8788284463783298,62842.41333333333
5.5+1,4,9.75,7.0,0,0,1.0344440089272575,56153.275
8+1,2,9.5,9.5,0,0,0.9909877824905103,49581.395000000004
4+2,13,9.153846153846153,8.0,0,0,0.7045724331400436,36840.76076923077
Stüdyo (1+0),4,8.0,7.0,0,0,0.9869930101087194,53688.7025
6+1,35,7.857142857142857,7.0,1,0,0.8348526283914044,39019.686571428574
5+1,103,7.233009708737864,7.0,1,0,0.8518191142932239,41041.532427184466
7+1,3,6.333333333333333,7.0,0,0,0.8924143205145675,54420.19666666666
1.5+1,2,6.0,6.0,0,0,1.0179031417491835,85567.765
3+2,3,5.0,7.0,0,0,0.8243393953055402,46151.03333333333
3.5+1,24,4.291666666666667,0.0,0,0,1.046651968856168,60535.11833333334
4.5+1,66,4.136363636363637,2.5,0,0,1.0548730577475545,56816.345151515154
2+0,14,3.7857142857142856,5.0,0,0,0.9744052230677196,42104.40285714286
1+1,495,2.919191919191919,0.0,0,0,1.051599444684582,67266.74444444444
2+1,1063,2.6331138287864535,0.0,0,0,1.0083276207081906,49766.60653809972
2.5+1,17,2.588235294117647,0.0,0,0,1.0619108185956119,55416.812352941175
4+1,749,2.4819759679572764,0.0,1,0,1.0078345263418236,48548.47403204272
3+1,3054,2.3058284217419778,0.0,3,0,0.9854361922475093,36332.09675507531
3+0,3,0.0,0.0,0,0,1.0693789802890457,50054.87666666667
