building_age_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
31 ve üzeri,226,4.221238938053097,0.0,2,0,0.9329859390385371,43782.3810619469
21-25 arası,374,4.050802139037433,0.0,1,0,0.9197103335939445,32579.17871657754
26-30 arası,299,3.568561872909699,0.0,0,0,0.9341969660948921,39674.10939799331
16-20 arası,651,3.431643625192012,0.0,2,0,0.9059438740709321,34674.83058371736
4,103,3.1262135922330097,0.0,0,0,1.050765038259177,51873.46611650485
11-15 arası,849,3.0141342756183747,0.0,1,0,0.9380115994555269,36406.29007067138
0 (Yapım Aşamasında),118,2.73728813559322,0.0,0,0,1.1435851753145427,54597.170677966096
2,149,2.577181208053691,0.0,1,0,1.0479187390207276,58220.87
3,92,2.282608695652174,0.0,0,0,1.072888085498788,52277.275434782605
6-10 arası,919,2.1371055495103373,0.0,0,0,0.9970983734693009,42424.171273122956
0 (Oturuma Hazır),1447,2.040082930200415,0.0,0,0,1.0549519214294394,50867.76959225984
missing,11,2.0,0.0,0,0,1.2764508656593707,81218.87727272727
5,242,1.8305785123966942,0.0,0,0,1.0307112209931788,46792.83487603306
1,208,1.5480769230769231,0.0,0,0,1.047452645833396,54826.25110576923
