detail_konut_tipi_raw,title_raw,duplex_type,is_duplex,is_roof_duplex,is_garden_duplex,is_middle_floor_duplex,is_standard_duplex,duplex_match_source,duplex_source_conflict,extraction_notes,classified_id
Dubleks|En Üst Kat,"Ankara Manzaralı, 5+1 Satılık Anahtar Teslim Dubleks Daire",standard,1,0,0,0,1,detail_and_title,0,,1319574841
,BİLKENT 1 ÇAMLIK SİTESİ D BLOKTA 3+1 ÇİFT BANYOLU TEMİZ,none,0,0,0,0,0,none,0,,1238458337
,Fakültelere hastanelere ulaşıma yakın satılık 2 + 1 daire,none,0,0,0,0,0,none,0,,1327497324
,"BALGAT EHLİBEYT'TE LOKASYON FIRSATI! İÇİ YENİLENMİŞ, 3+1 GİRİŞ",none,0,0,0,0,0,none,0,,1321444755
,ARAKAT ÖN CEPHE FULL YAPILI OTO PARKLI,none,0,0,0,0,0,none,0,,1321408771
Ara Kat,Çukurambar'da harika lokasyonda 4+1 Satılık Daire,none,0,0,0,0,0,none,0,,1314037807
Ara Kat,Hilal Şahin'den (Fırsat Fiyat) Koordinat Çayyolu Satılık 4+1,none,0,0,0,0,0,none,0,,1328314940
Ara Kat,AMETİST RESİDENCES SATILIK 4+1 ULTRA LÜKS KONFORLU DAİRE,none,0,0,0,0,0,none,0,,1328417869
Ara Kat,"ÇİĞDEM MAHALLESİ GÖKKUŞAĞI SİTESİNDE,150 M2,ÖN CEPHE, 6.KAT",none,0,0,0,0,0,none,0,,1316766391
Dubleks|En Üst Kat|Çatı Dubleksi,ÇUKURAMBAR BUDAPEŞTE CAD.İTHAL LÜKS MOBİLYALI 5+1 DUBLEX DAİRE,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1317231669
,ACİL.CEBECİ 2+1 KAT 2 YAPİLİ BAGİMSİZ,none,0,0,0,0,0,none,0,,1329411388
Ara Kat,ÇANKAYA BALGAT CONSEPT'TE FULL YAPILI ASANSÖRLÜ 1+1 DAİRE,none,0,0,0,0,0,none,0,,1316940300
Ara Kat,"Next Level Çayyolu Satılık Boş3,5+1 Daire Kısa Süre Fırsat Fiyat",none,0,0,0,0,0,none,0,,1324030560
,BİLKENT 2 PARK SİTESİNDE 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1330140579
,KONYA YOLU CEPHELİ ATV KARŞISI BULVAR ÜZERİ 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1324299959
Ara Kat,İNAN GROUP'DAN BEYTEPE ATASUPARK SİTESİ 4+1 LÜKS DAİRE,none,0,0,0,0,0,none,0,,1330311519
Ara Kat,CEYHUN ATUF KANSU CAD.TAURUS AVM YAKINI ARA KAT SATILIK 4+1,none,0,0,0,0,0,none,0,,1312431125
,ONLİNE EMLAKTAN ÇUKURAMBAR MUHSİN Y.CD YAKINI ARA KAT FIRSAT 4+1,none,0,0,0,0,0,none,0,,1324626682
,"SAHİBİNDEN MERKEZİ KONUMDA MARAFSIZ, BAHÇELİ ve EŞYALI DAİRE",none,0,0,0,0,0,none,0,,1330496270
,EVA INVEST OFFICIAL // BİLKENT NAZENDE 6+1 (KİRACILI),none,0,0,0,0,0,none,0,,1268894344
Ara Kat,İNCEPTİON BEYTEPE'DE NET 196M2 3 BANYOLU 4+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1324712558
Ara Kat,"Beyhills Beytepe de Satılık Natamam,Geniş Teraslı Dublex",standard,1,0,0,0,1,title,0,,1319612971
Ara Kat,BULVAR BEYTEPE-1'DE EKSTRALI 2+1 SATILIK 130m² GENİŞ LÜKS DAİRE,none,0,0,0,0,0,none,0,,1331082229
Ara Kat,"ÇİĞDEM MAHALLESİ, KAPALI OTOPARK, İSKANLI 3+1, ARA KAT , SATILIK",none,0,0,0,0,0,none,0,,1325288247
,ANKARA BALGATTA SATILIK DAİRE,none,0,0,0,0,0,none,0,,1331490411
,ÇİĞDEM MAHALLESİ 'NDE YENİ ESENKENT SİTESİ KÖK TAPU SATILIK 3+1,none,0,0,0,0,0,none,0,,1331710961
En Üst Kat,BALGAT KARAKOL YAKINI 3+1 DAİRE KREDİYE UYGUN,none,0,0,0,0,0,none,0,,1325446648
Ara Kat,ODTÜ JOU ORMAN PROJESİNDE 1+1 DAİRE,none,0,0,0,0,0,none,0,,1312626173
Ara Kat,SUKENT BEYTEPE'de GENİŞ PEYZAJ ŞEHİR MANZARALI 4+1 DAİRE,none,0,0,0,0,0,none,0,,1236926341
Ara Kat,IF AJANS - EMSALSİZ REZİDANS AMETİST DE BÜYÜK TİP MANZARALI 4+1,none,0,0,0,0,0,none,0,,1296592574
,last pointte 11 kat doğu güney cephe 4+1 kombili daire,none,0,0,0,0,0,none,0,,1331755946
,ÇANKAYA NASUH AKAR MAH. SATILIK 2+1 KAPALI MUTFAKLI DAİRE,none,0,0,0,0,0,none,0,,1322971594
,"EVA INVEST OFFICIAL // AVEND BEYTEPE SIFIR 4,5+1 KDV AVANTAJLI",none,0,0,0,0,0,none,0,,1320185171
Dubleks,REHA MEDİN'DEN MANZARALI GENİŞ TERASIYLA SATILIK 3+1 DUBLEKS,standard,1,0,0,0,1,detail_and_title,0,,1320474432
En Üst Kat,FULL YAPILI 3+1 KAÇIRILMAZ FIRSAT,none,0,0,0,0,0,none,0,,1325680273
Ara Kat,ÇANKAYA ÇAMLITEPE MAHALLESİ 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1315234370
Dubleks,CUMHURİYET GAYRİMENKULDEN 2+2 FULL+FULL YAPILI MASRAFSIZ,standard,1,0,0,0,1,detail,0,,1328557222
Ara Kat Dubleks,ÇANKAYA BEYSU KONAKLARI SATILIK 5+2 ORMAN VE ANKARA MANZARALI,middle_floor,1,0,0,1,0,detail,0,,1317809501
Ara Kat,BEYTEPE_PRESTİJLİ LOKASYONDA_4+1 DAİRE,none,0,0,0,0,0,none,0,,1330553926
,DORUK BEYTEPE 'NİN EN GÜZEL KATINDA ULTRA LÜKS DAİRE,none,0,0,0,0,0,none,0,,1311686596
Ara Kat,"NEXT LEVEL ÇAYYOLU KONUTLARINDA (YATAY) 3.5+1 ,150 M2 DAİRE",none,0,0,0,0,0,none,0,,1332548856
Ara Kat,AKINCI BEYTEPE DE ARA KAT 5+1 DAİRE,none,0,0,0,0,0,none,0,,1332804475
Çatı Dubleksi,MUSTAFA KEMAL'DE İSTER OTURUM İÇİN İSTERSENİZDE İŞ YERİ FIRSAT,roof,1,1,0,0,0,detail,0,,1332695042
Ara Kat,ÇANKAYA CEVİZLİDERE MERKEZDE DÜZLÜK ALANDA SATILIK 3+1 DAİRE,none,0,0,0,0,0,none,0,,1320888130
,HSN GAYRİMENKUL'DEN MUTLU VİŞNELİK SATILIK 2+1 EŞYALI DAİRE,none,0,0,0,0,0,none,0,,1315798795
,CEBECİ MERKEZDE KAÇIRILMAYACAK FIRSAT 2+1 SATILIK DAİRE!!!,none,0,0,0,0,0,none,0,,1315729012
Ara Kat,Emekte Yeni 2+1 Katta ÖnCephede Kombili Metro Yakını,none,0,0,0,0,0,none,0,,1327270879
,BAHÇE EMLAK TAN SIFIR 2+1,none,0,0,0,0,0,none,0,,1282345888
Ara Kat,İÇ MİMAR SAHİBİNDEN İSRAİL EVLERİNDE RESTORASYONLU DAİRE,none,0,0,0,0,0,none,0,,1303794352
En Üst Kat,AYRANCI'DA İÇİ BOŞ SATILIK | CADDEYE CEPHE | 3+1 DAİRE,none,0,0,0,0,0,none,0,,1322142866
Ara Kat,ANADOLUDAN BAHÇELİEVLERDE ASANSÖRLÜ 3+1 2.KATTA OTOPARKLI LÜX,none,0,0,0,0,0,none,0,,1329929273
Ara Kat,"ANITTEPE HEDEF SOKAK TA GENİŞ, 3 CEPHE, FERAH DAİRE",none,0,0,0,0,0,none,0,,1299836292
,AŞTİ YAKINI BAĞIMSIZ ODALI SATILIK 3+1,none,0,0,0,0,0,none,0,,1328723689
Ara Kat,"EMEK MAH. MİLLİ KÜTÜPHANE,HAZİNE,METRO YAKINI,2+1,SATILIK",none,0,0,0,0,0,none,0,,1317900454
En Üst Kat,HOŞDERE CADDESİ' nde; BALKONLU + BAKIMLI + GÖMME DOLAPLI 2+1,none,0,0,0,0,0,none,0,,1322274262
,REK GRUP DAN EMEKTE YENİ BİNADA SATILIK 1+1 TERASLI DAİRE,none,0,0,0,0,0,none,0,,1329875065
Ara Kat|Çatı Dubleksi,"Çankaya Bahçelievler, Azerbaycan Cad, Geniş Yapılı Dubleks Daire",roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1312290755
Dubleks,BAHÇELİEVLER 3.CAD PTT YANI SATILIK GENÇ BİNADA 2+1 DUBLEKS,standard,1,0,0,0,1,detail_and_title,0,,1329920165
Dubleks,Çankaya Aziziye Mah. Satılık 1.5+1 Eşyalı Dubleks Daire,standard,1,0,0,0,1,detail_and_title,0,,1330408234
En Üst Kat,ÇANKAYA AYRANCI KUZGUN SOKAK ÜZERİNDE SATILIK 2+1 DAİRE,none,0,0,0,0,0,none,0,,1301446971
Çatı Dubleksi,EMEKTE 5 YILLIK BİNADA GENİŞ MUTFAKLI 4+1 DUBLEKS ÇİFT BANYOLU,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1327908644
Dubleks,BAHÇELİEVLER ANITKABİR ORMAN MANZARALI SATILIK DUBLEKS DAİRE,standard,1,0,0,0,1,detail_and_title,0,,1306854602
,ÇANKAYA KONUT KULELERİ'NDE DİKMEN VADİSİNİN KALBİNDE SATILIK,none,0,0,0,0,0,none,0,,1330373799
Ara Kat,"ÖZCAN EMLAK DAN CİNNAH CADDESİ ÜZERİ KOMPLE 3.KAT,TEK DAİRE",none,0,0,0,0,0,none,0,,1249064848
Ara Kat,ANADOLUDAN EMEKTE METRO KARŞISI 3+1 2.KATTA OTOPARKLI BOŞ TESLİM,none,0,0,0,0,0,none,0,,1329055230
Dubleks,EMEK 25. CADDE ANA CADDEYE 1. BİNA 3+1 AÇIK OTOPARKLI 140M2,standard,1,0,0,0,1,detail,0,,1321957039
,"ÇANKAYA PARK EVLERİNDE 4+1 ŞAHANE VADİ MANZARALI, TEMİZ DAİRE",none,0,0,0,0,0,none,0,,1330643118
Ara Kat,ŞİMŞEK SOKAK GÜVEN HASTANESİ YANI ARAKAT 3+1 ARKA CEPHE,none,0,0,0,0,0,none,0,,1330780271
,ANADOLUDAN BAHÇELİEVLERDE YENİ PRESTİJLİ 2+1 KÖŞE BAĞMSZ MUTFAK,none,0,0,0,0,0,none,0,,1332200847
Ara Kat,BAHÇELİEVLER ÇOK İYİ KONUMDA ARA KAT SATILIK 3+1 BAKIMLI DAİRE,none,0,0,0,0,0,none,0,,1307535968
En Üst Kat,Ayrancı Güvenlik Cad. Satılık 3+1 Daire - Merkezi Konum,none,0,0,0,0,0,none,0,,1316844745
Ara Kat,Alaçatı'dan - Katta - 2.07 Kredi - 0 Daire - Anıtkabir 100 Metre,none,0,0,0,0,0,none,0,,1330969888
Ara Kat,ANKARA 'NIN KALBİNDE SATILIK 3+1 120m2 DAİRE Atakule&Botanik,none,0,0,0,0,0,none,0,,1316852254
Ara Kat,EMEK YEŞİLTEPE SİTESİ 1.KAT 3+1 FIRSAT DAİRE,none,0,0,0,0,0,none,0,,1331385197
,BORSEM DEN YENİ BİNA ÖN CEPHE 3+1 DUBLEKS DAİRE,standard,1,0,0,0,1,title,0,,1328330695
,CİNNAH BUSINESS&RESIDENCE SATILIK 1+1 DAİRELER,none,0,0,0,0,0,none,0,,1325582925
,"""0"" 2+1 KAPALI MUTFAKLI EBEV.BANYOLU",none,0,0,0,0,0,none,0,,1331356193
Ara Kat,"*ŞAHİN EMLAK'TAN 3+1 BAKIMLI,ATAKULE.Y BOŞ,ARA KAT,MESA SİTESİ*",none,0,0,0,0,0,none,0,,1325567828
,Sahibinden başkent hastanesi üniversite 7 cad yanı daire,none,0,0,0,0,0,none,0,,1331297254
Çatı Dubleksi,CADDE ÜZERİNDE ANIT KABİR MANZARALI ULTRA LÜKS 3+1 DUBLEKS BAĞIM,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1325702015
,ANADOLUDAN BAHÇELİEVLERDE 7 YILLIK 2+1 ÖN K.GARAJLI BOŞ!!!!,none,0,0,0,0,0,none,0,,1328734592
,ANITKABİR KARŞISI 1+1,none,0,0,0,0,0,none,0,,1326742587
,ANADOLUDAN BAHÇELİEVLERDE 3+1 ÖN 1.KATTA YENİ BİNADA,none,0,0,0,0,0,none,0,,1328841482
,Bahçelievler'de Sıfır 1+1 Teraslı Daire - Metroya Yakın,none,0,0,0,0,0,none,0,,1312691069
En Üst Kat,"AYRANCI GÜLERYÜZ SOK.BAKIMLI BİNADA,MASRAFSIZ 3+1.",none,0,0,0,0,0,none,0,,1332603252
Dubleks,"BAHÇELİEVLER,GAZİ HASTANESİ VE ÜNİVERSİTELER YAKINI 6+1 SATILIK",standard,1,0,0,0,1,detail,0,,1315592830
,Emekte 2+1 Bahçe Katında( Kentsel Dönüşüme Uygun ) Kombili Metro,none,0,0,0,0,0,none,0,,1326850170
Ara Kat,ANITTEPE TURGUT REİS CADDESİNDE UYGUN FİYATLI SATILIK DAİRE,none,0,0,0,0,0,none,0,,1323034307
,AYRANCI'DA GENİŞ VE FERAH DAİRE-KİRACI ÇIKACAK,none,0,0,0,0,0,none,0,,1322816252
,POLAT'TAN HOŞDERE CADDE ÜZERİ 3+1 ŞEHİR MANZARALI FULL YAPILI,none,0,0,0,0,0,none,0,,1320761706
,KAT EKSİKLİ YATIRIMLIK FULL YENİ YAPILI 3+1 BOŞ DAİRE,none,0,0,0,0,0,none,0,,1275902006
,EMEK MAH. MERKEZİ KONUMDA SATILIK 3+1 FIRSAT DAİRE,none,0,0,0,0,0,none,0,,1332081512
Ara Kat,"PORTAKAL ÇİÇEĞİ VADI SİTESİNDE SATILIK 3,5+1 | ÇİFT BANYO",none,0,0,0,0,0,none,0,,1332183395
En Üst Kat,Bahçelievler Taşkent Caddesi'nde Satılık 3+1 Daire,none,0,0,0,0,0,none,0,,1323588745
Dubleks|En Üst Kat|Çatı Dubleksi,BOŞ SATILIK HARİKA KONUMDA DUBLEKS DAİRE FIRSATI 5+1 ÇUKURAMBAR,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1266280852
,SATILIK ANKARA ÇANKAYA ANITTEPEDE SIFIR 1+1 KOMBİLİ GİRİŞ KAT,none,0,0,0,0,0,none,0,,1333470705
