duplex_type,n,median,mean
garden,10,270.83500000000004,282.209
middle_floor,16,257.47,292.83625
none,2807,266.67,308.80719985749914
roof,63,246.0,293.2673015873016
standard,58,233.51999999999998,269.92689655172416
