split,detail_duplex_count,title_duplex_count,detail_and_title_duplex_count,title_only_duplex_count,detail_only_duplex_count,conflict_count,roof_duplex_count,garden_duplex_count,middle_floor_duplex_count,generic_duplex_count
sale,439,306,218,88,221,0,205,15,33,274
rental,131,60,43,16,87,1,63,10,16,58
