purpose,county,total_rows,yerden_count,yerden_share,median_unit_price_yerden,median_unit_price_other
sale,Akyurt,489,44,0.08997955010224949,40416.665,27131.78
sale,Altındağ,494,16,0.032388663967611336,52855.354999999996,31789.559999999998
sale,Etimesgut,495,32,0.06464646464646465,66662.815,47222.22
sale,Gölbaşı,500,179,0.358,80555.56,65972.22
sale,Keçiören,492,6,0.012195121951219513,40875.0,33900.11
sale,Mamak,499,4,0.008016032064128256,59566.67,31458.33
sale,Polatlı,497,25,0.05030181086519115,31666.67,22788.89
sale,Pursaklar,496,93,0.1875,51842.11,37058.82
sale,Sincan,500,11,0.022,43300.0,34437.04
sale,Yenimahalle,496,59,0.11895161290322581,75000.0,52500.0
sale,Çankaya,481,47,0.09771309771309772,103846.15,62398.525
sale,Çubuk,498,138,0.27710843373493976,38480.770000000004,30400.644999999997
sale,__ALL__,5937,654,0.1101566447700859,60201.615000000005,35245.9
rental,Akyurt,224,28,0.125,,
rental,Altındağ,247,2,0.008097165991902834,,
rental,Etimesgut,249,5,0.020080321285140562,,
rental,Gölbaşı,249,73,0.2931726907630522,,
rental,Keçiören,247,2,0.008097165991902834,,
rental,Mamak,247,4,0.016194331983805668,,
rental,Polatlı,250,11,0.044,,
rental,Pursaklar,249,37,0.14859437751004015,,
rental,Sincan,247,14,0.05668016194331984,,
rental,Yenimahalle,249,17,0.06827309236947791,,
rental,Çankaya,248,20,0.08064516129032258,,
rental,Çubuk,248,62,0.25,,
rental,__ALL__,2954,275,0.09309410968178741,,
