county,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
Polatlı,465,4.840860215053763,5.0,2,0,1.0075136812146621,23465.60012903226
Çankaya,450,3.6777777777777776,0.0,4,0,0.9822157724313516,73045.26922222222
Çubuk,468,3.5235042735042734,0.0,0,0,1.005569423845153,34344.08683760684
Akyurt,474,2.719409282700422,0.0,0,0,0.9895614887302014,30744.794535864978
Yenimahalle,473,2.5348837209302326,0.0,0,0,0.9823013112372271,59960.408541226214
Keçiören,477,2.4046121593291403,0.0,0,0,0.9793944961215186,35382.31815513627
Etimesgut,476,2.3739495798319328,0.0,0,0,0.9964823354602188,52301.36489495799
Gölbaşı,489,2.2515337423312882,0.0,1,0,0.9787395577719682,72005.8054396728
Pursaklar,483,2.2443064182194616,0.0,0,0,1.0115863679500767,40822.94370600414
Altındağ,476,2.081932773109244,0.0,0,0,0.9902983983819689,34000.96907563025
Mamak,482,1.896265560165975,0.0,0,0,0.9947852253126381,33603.481182572614
Sincan,475,1.8126315789473684,0.0,0,0,0.9960400275882185,35867.4056
