county,sale_count,rental_count
Akyurt,479,224
Altındağ,482,247
Etimesgut,483,249
Gölbaşı,494,249
Keçiören,487,247
Mamak,495,247
Polatlı,475,250
Pursaklar,487,249
Sincan,482,247
Yenimahalle,485,249
Çankaya,466,248
Çubuk,471,248
