district,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
Aydınlıkevler Mh.,16,1.4375,0.0,0,0,0.9738499145921371,42818.959375
İncirli Mh.,14,1.4285714285714286,0.0,0,0,1.0081527635588297,34747.190714285716
Konutkent Mah.,7,1.4285714285714286,0.0,0,0,1.2349214287326102,95429.34714285714
Misket Mah.,7,1.4285714285714286,0.0,0,0,1.1511470184170247,35057.747142857144
Atapark Mah.,44,1.4090909090909092,0.0,0,0,0.9755934826722528,34265.792499999996
Feridun Çelik Mh.,49,1.3877551020408163,0.0,0,0,1.009948673725822,33087.81612244898
Küçük Kayaş Mh.,31,1.3870967741935485,0.0,0,0,0.9738813181952153,27527.199677419354
Tunahan Mah.,17,1.3529411764705883,0.0,0,0,0.972202645528384,60137.05117647059
Şahintepe Mh.,17,1.3529411764705883,0.0,0,0,0.9865582243310947,30030.992352941175
Yeni Batı Mh.,6,1.3333333333333333,0.0,0,0,1.0991210282463255,62575.97833333333
Susuz Mah.,32,1.3125,0.0,0,0,1.041556604146728,67389.4746875
Ayvalı Mh.,32,1.28125,0.0,0,0,0.9688322305880098,37239.3740625
Altıağaç Mh.,4,1.25,0.0,0,0,1.2513448791093675,38508.89
Ata Mah.,4,1.25,0.0,0,0,0.905067317386671,52689.39
Önder Mh.,4,1.25,0.0,0,0,1.213970450438772,40433.0125
Menderes Mah.,46,1.2173913043478262,0.0,0,0,0.9741034220730163,37409.976956521736
Hisar Mah.,7,1.1428571428571428,0.0,0,0,0.9080027238506306,31509.55
Yuvaköy Mh.,24,1.125,0.0,0,0,0.9752424044524657,72921.06916666667
Ertuğrulgazi Mh.,12,1.0833333333333333,0.0,0,0,1.0040880505582621,38654.43666666667
Yeşilbayır Mh.,37,1.0810810810810811,0.0,0,0,0.9808933045436609,29747.801081081077
Demetgül Mh.,15,1.0,0.0,0,0,1.0235406897730286,35844.78866666667
Avcılar Mh.,5,1.0,0.0,0,0,1.0516994198534424,48699.83
Mevlana Mah.,5,1.0,0.0,0,0,1.0865156968148597,43033.508
Tınaztepe Mh.,5,1.0,0.0,0,0,0.8494773410105533,64498.791999999994
İncek Mh.,151,0.9867549668874173,0.0,0,0,0.9749176050264114,77198.00443708609
Şehit Osman Avcı Mh.,23,0.9130434782608695,0.0,0,0,1.0085486667583423,72022.55739130435
Göksu Mh.,22,0.9090909090909091,0.0,0,0,0.9910754542662982,68551.55045454545
Turkuaz Mh.,12,0.8333333333333334,0.0,0,0,1.0351820484615888,49365.795000000006
Aydınlar Mh.,6,0.8333333333333334,0.0,0,0,0.9622876794234504,55418.755000000005
Kayaş Mh.,6,0.8333333333333334,0.0,0,0,1.076551421466017,31952.95
Yıldıztepe Mh.,22,0.8181818181818182,0.0,0,0,1.0016152908953497,40860.52227272727
Selçuklu Mh.,16,0.8125,0.0,0,0,1.01808345282792,30693.285
Durali Alıç Mh.,52,0.8076923076923077,0.0,0,0,0.9750032543372678,35538.16076923077
Cumhuriyet Mh.,57,0.7543859649122807,0.0,0,0,0.9989110224710551,78952.99666666666
Kardelen Mah.,18,0.7222222222222222,0.0,0,0,1.0007239580860543,57758.29388888889
Osmanlı Mh.,7,0.7142857142857143,0.0,0,0,1.0017396503714502,31022.53857142857
Uğur Mumcu Mh.,8,0.625,0.0,0,0,0.8897388290548284,53129.51875
Şeyh Şamil Mh.,9,0.5555555555555556,0.0,0,0,1.0962429022583386,56873.68777777778
Ergazi Mah.,11,0.45454545454545453,0.0,0,0,1.1041729871700774,67873.02272727272
Sancaktepe Mah.,11,0.45454545454545453,0.0,0,0,1.2239025882988448,44641.049999999996
Törekent Mh.,11,0.45454545454545453,0.0,0,0,1.0613534701302594,49495.2909090909
Fahri Korutürk Mh.,17,0.4117647058823529,0.0,0,0,1.0093464005207036,37348.47647058823
Kıbrısköy Mh.,14,0.35714285714285715,0.0,0,0,0.9978603376905906,31837.877857142856
Şahap Gürler Mh.,12,0.0,0.0,0,0,1.0185224936696549,30463.966666666664
Altay Mah.,7,0.0,0.0,0,0,1.082308436808426,61056.60857142857
Aşağı Öveçler Mh.,7,0.0,0.0,0,0,0.8841653632046887,61658.729999999996
Kutlu Mah.,7,0.0,0.0,0,0,1.0076807998044153,33614.02285714286
Oran Mah.,6,0.0,0.0,0,0,1.0860645952658852,106161.34666666666
İlker Mh.,6,0.0,0.0,0,0,1.1185238064220506,98341.97000000002
Ulubey Mah.,5,0.0,0.0,0,0,1.0940534889610984,44145.547999999995
Yeniçimşit Mh.,5,0.0,0.0,0,0,1.0468668036431126,47341.840000000004
Kavacık Subayevleri Mh.,4,0.0,0.0,0,0,1.2331729853234905,43921.875
Metin Akkuş Mh.,4,0.0,0.0,0,0,0.9757766970142063,51441.03
Bahçeleriçi Mh.,3,0.0,0.0,0,0,0.8218332995762835,27101.506666666664
Bostancık Mh.,3,0.0,0.0,0,0,0.8522996374485151,27875.556666666667
Harman Mah.,3,0.0,0.0,0,0,1.3856527923339574,41152.24333333333
Hüseyingazi Mh.,3,0.0,0.0,0,0,0.9714144937051971,29986.3
Karargahtepe Mah.,3,0.0,0.0,0,0,1.0130249956626096,30086.583333333332
İlkbahar Mh.,3,0.0,0.0,0,0,1.2080015055836493,79195.87
Anıttepe Mh.,2,0.0,0.0,0,0,0.9746936026528998,69705.88
Dodurga Mah.,2,0.0,0.0,0,0,1.0620356531603452,79253.25
Ehlibeyt Mah.,2,0.0,0.0,0,0,0.98185231629773,56330.770000000004
Esatoğlu Mh.,2,0.0,0.0,0,0,1.05472288176146,86904.765
Güzeltepe Mh.,2,0.0,0.0,0,0,1.323676850203821,86655.775
Mehtap Mah.,2,0.0,0.0,0,0,0.9671642849416853,30333.335
Mutlukent Mah.,2,0.0,0.0,0,0,1.2717298322122808,96819.445
Ulubatlı Hasan Mh.,2,0.0,0.0,0,0,0.9097012282490986,27404.915
Öveçler Mh.,2,0.0,0.0,0,0,1.0425503417812785,68096.775
İleri Mh.,2,0.0,0.0,0,0,0.9408363502434136,48624.14
Şefkat Mh.,2,0.0,0.0,0,0,1.138462380173973,41815.0
100. Yıl Mh.,1,0.0,0.0,0,0,0.8686831287021717,50000.0
Anadolu Mah.,1,0.0,0.0,0,0,0.8947908735857215,40000.0
Aşıkpaşa Mh.,1,0.0,0.0,0,0,0.7219333757480926,43157.89
Balgat Mah.,1,0.0,0.0,0,0,1.1442354179768166,63636.36
Balıkuyumcu Mh.,1,0.0,0.0,0,0,1.410860726236475,56538.46
Derbent Mah.,1,0.0,0.0,0,0,1.1502287713644774,40376.92
Diriliş Mh.,1,0.0,0.0,0,0,1.1736295897473925,40517.24
Dutluk Mah.,1,0.0,0.0,0,0,1.1881197708939075,39566.67
Hasköy Mh.,1,0.0,0.0,0,0,1.061189475153124,37826.09
Kale Mah.,1,0.0,0.0,0,0,1.073609985196714,36153.85
Kartaltepe Mah.,1,0.0,0.0,0,0,0.8639209076617063,29620.69
Lalahan Mah.,1,0.0,0.0,0,0,0.7242916735001582,22272.73
Muhsin Yazıcıoğlu Mh.,1,0.0,0.0,0,0,0.7630333185742766,16923.08
Nasuh Akar Mah.,1,0.0,0.0,0,0,1.4055332530849605,93750.0
Ostim Mah.,1,0.0,0.0,0,0,0.8838840557071687,41071.43
Remzi Oğuz Arık Mh.,1,0.0,0.0,0,0,0.9435591045058174,54166.67
Sirkeli Yeşilova Mh.,1,0.0,0.0,0,0,0.7713286104166964,28888.89
