district,building_age_group,m2_group,n,mape,mae
Kayacık Mh.,11-15 arası,76-100,4,0.10292659727498718,4026.7638977329498
Kayacık Mh.,0 (Oturuma Hazır),151-200,4,0.1021309053063044,7350.746682576628
4 Temmuz Mah.,5,76-100,1,0.10098933190866606,5049.466595433303
4 Temmuz Mah.,0 (Oturuma Hazır),151-200,2,0.09701594921104251,4418.774996619806
Kayacık Mh.,0 (Oturuma Hazır),76-100,5,0.09474188959911473,4812.625679450878
4 Temmuz Mah.,11-15 arası,151-200,6,0.094470471693429,3743.5864091626404
Kayacık Mh.,6-10 arası,151-200,4,0.08590293287912794,5626.18632585983
Kayacık Mh.,26-30 arası,126-150,3,0.08582991088259652,3544.749388376212
Ereğli Mh.,0 (Oturuma Hazır),76-100,6,0.08578015794405995,4181.9374053005085
Kayacık Mh.,0 (Yapım Aşamasında),101-125,4,0.08453810520192974,3870.962343887333
4 Temmuz Mah.,0 (Oturuma Hazır),101-125,7,0.08273773546711942,4315.515860558978
Ereğli Mh.,0 (Yapım Aşamasında),76-100,5,0.0812674139077538,4189.531469101409
Ereğli Mh.,16-20 arası,126-150,1,0.07554816685085247,2702.299756166518
4 Temmuz Mah.,0 (Yapım Aşamasında),76-100,2,0.07169039475074514,3857.3231339318336
Ereğli Mh.,26-30 arası,76-100,2,0.0712177764943338,3276.1965830906665
Ereğli Mh.,11-15 arası,101-125,1,0.06776343962276027,2954.4859675523476
Dereköy Mh.,6-10 arası,151-200,1,0.06758110230001609,2165.6276376607166
Kayacık Mh.,4,76-100,1,0.06502745963172182,2973.816925914609
Dereköy Mh.,6-10 arası,126-150,2,0.062375338803563274,2060.5201995181633
Tepeköy Mh.,0 (Oturuma Hazır),76-100,2,0.0612133458678422,2489.6737130439396
4 Temmuz Mah.,0 (Yapım Aşamasında),0-75,2,0.060277672535211727,3013.883095829242
4 Temmuz Mah.,2,76-100,1,0.053608509403903104,2084.7754252723535
Ereğli Mh.,11-15 arası,151-200,1,0.05109947476624535,2225.2998559156113
4 Temmuz Mah.,26-30 arası,151-200,2,0.04904449159778346,1453.9154019197904
Ereğli Mh.,0 (Oturuma Hazır),200+,3,0.04840444332034719,1807.4456882722297
Kayacık Mh.,1,0-75,3,0.04326345676576063,2127.6695451727137
4 Temmuz Mah.,16-20 arası,151-200,1,0.03841635225027158,1638.3444793984672
Ereğli Mh.,1,126-150,1,0.0364814934036719,1434.93861893945
Kayacık Mh.,21-25 arası,101-125,1,0.032203482848465984,1207.6306068174745
Kayacık Mh.,0 (Yapım Aşamasında),76-100,1,0.022417750832000472,1190.9430129500251
Kayacık Mh.,6-10 arası,126-150,1,0.010806014150212217,468.26057715581555
Tepeköy Mh.,21-25 arası,0-75,1,0.001531555131683649,66.36738393444102
4 Temmuz Mah.,4,101-125,1,0.0011100154050950413,45.78813546017045
Ereğli Mh.,0 (Oturuma Hazır),151-200,1,0.00010384836865624594,4.673176589531067
