district,n,mape,mae
Dereköy Mh.,12,0.2446871959881917,6852.088445732948
Yalakdere Mh.,1,0.23662388907003912,13229.426310166833
Tepeköy Mh.,5,0.18988057605691522,7550.605961873142
Kayacık Mh.,113,0.16018069293658688,7034.465510762325
4 Temmuz Mah.,166,0.15928054508315312,5544.149437910276
Avcıköy Mh.,1,0.1494059168791557,7636.302252261383
Ereğli Mh.,30,0.11832387223968296,5656.805864153301
