m2_group,n,mape,mae
200+,23,0.2371922946911341,8771.255970446316
126-150,65,0.17437647831834274,5896.278163020734
101-125,89,0.151059887561018,5501.739498145244
151-200,45,0.14711486706490154,6660.312861605562
76-100,83,0.14702209611668055,5746.015091429416
0-75,23,0.14370248407809907,7586.360454000232
