room_count,n,mape,mae
4.5+1,1,0.9284748807892197,17464.166839702444
4.5+2,1,0.37358191615028286,23348.869759392677
6+2,1,0.2761771435605926,9559.976771664464
5+2,1,0.2413610107763702,7306.828078077797
2.5+1,1,0.2158553402178245,7725.348223065623
4+2,6,0.199497576529811,7247.161244937513
4+1,27,0.1743360748665058,7737.392546730879
3+1,141,0.16845760972304175,5984.959301810982
3+2,2,0.16645751034283446,7581.00112394775
5+1,8,0.16550394679400926,6939.369867267487
1+1,13,0.15262891807402046,7696.8876405079445
2+1,118,0.13885270684411438,5691.354197881707
5.5+1,1,0.11057027667038966,3985.1374235628828
3.5+1,3,0.0912067141321035,2862.3747809039487
6+1,3,0.06977313882138349,2326.8433703187657
2+2,1,0.05109947476624535,2225.2998559156113
