building_age_group,n,mape,mae
21-25 arası,14,0.21941472364068834,7896.329675924532
16-20 arası,14,0.21930621287203816,7799.77567916567
4,5,0.20404682579557054,7065.207460617728
3,3,0.20074901817885746,11877.802344920252
31 ve üzeri,73,0.19269546656083597,5597.268510774227
6-10 arası,47,0.17549698465536165,7072.179075040355
2,3,0.17376645925286993,10790.879929790177
5,5,0.15941750680267655,8823.808153265367
26-30 arası,37,0.1593883041965579,5703.947819638198
11-15 arası,49,0.14812389878674254,5968.758932721535
1,9,0.1258926963810726,6693.452085268477
0 (Oturuma Hazır),52,0.09970863870931078,5392.926296723384
0 (Yapım Aşamasında),17,0.08770433356328508,4317.252597012417
