fold,n_train,n_val,pred_log_mean,actual_log_mean
0,735,184,10.597134241077642,10.5980850269794
1,735,184,10.598346739286063,10.600605910157828
2,735,184,10.597570022790768,10.59534966444755
3,735,184,10.602693777740276,10.600646747799352
4,736,183,10.602533692603524,10.603518635028541
