site_project_id,n,mean_actual,mean_pred,mean_residual
yuvacik_kalici_konutlari_2_ada,2,32663.635000000002,34595.6127094289,1931.977709428893
iskar_elit_kent,2,36703.020000000004,38837.39065682156,2134.3706568215566
altinkent,1,36153.85,38300.3497064667,2146.499706466704
pasadagi,1,36756.76,38969.333630094625,2212.573630094623
yuvacik_kalici_konutlari_10_ada,1,27333.33,29558.101561754927,2224.7715617549256
sembol_kent,5,34497.23,36855.72789310261,2358.4978931026067
my_house_yuvacik,3,36546.29666666667,39083.39399715756,2537.0973304908935
basiskele_de,1,34682.08,37222.06751644916,2539.9875164491605
marmara_elit,3,32854.166666666664,35394.46540716114,2540.2987404944747
kullar_tepecik_de,1,38952.38,41594.35652065624,2641.9765206562442
kullar_da_ultra_ebeveyn_banyolu,1,35555.56,38230.58727700459,2675.027277004592
aydinkent_kalici,1,30909.09,33585.829620848366,2676.739620848366
altinkent_kalici_konutlari_6_ada,1,28695.65,31407.00987463269,2711.3598746326898
cb_mahall_den_tinaztepede,1,31750.0,34686.619420778385,2936.6194207783847
esila_park,4,41704.61,44699.092331176376,2994.482331176374
elitium_park,2,43901.1,47173.53364859729,3272.433648597289
emar_delux_yuvacik,2,35000.0,38415.40317149951,3415.4031714995035
pasadag_100_yil_parla,1,50000.0,53429.60252181253,3429.6025218125287
doga,2,35457.425,38900.64780629713,3443.2228062971335
yuksek_giris_butik,1,35000.0,38521.595703392086,3521.595703392086
vadi_yuvacik,1,37142.86,40736.79863401327,3593.9386340132696
kuba,1,28461.54,32118.79070969377,3657.2507096937697
mavi_yesil_park,1,28361.34,32059.561905807088,3698.2219058070878
durupark,1,41739.13,45443.127271219695,3703.9972712196977
bloklu_butik,1,34160.0,37885.29036756829,3725.29036756829
barbaros,1,41588.79,45440.849879316454,3852.0598793164536
fatih_mahallesinde,2,44005.715,48033.455967339876,4027.7409673398797
seyri_vadi,1,38148.15,42714.7765772665,4566.626577266499
fatih_mah,1,28275.86,32922.15399879373,4646.293998793728
aydinkent,1,27727.27,32488.894482521504,4761.6244825215035
duru_park,2,34883.335,39673.22195059849,4789.886950598491
ritim_vadi_evleri,4,33227.01,38176.43244740654,4949.422447406541
dream_gardens,1,27954.55,32972.037014483496,5017.487014483497
barbaros_mh,1,42253.52,47334.44288586936,5080.9228858693605
kullar_da_prestijli_yasam,1,29629.63,34914.224057491316,5284.594057491315
kardelen,1,36896.55,42416.92822483926,5520.37822483926
yuvacik_manar,1,43846.15,49518.05826785162,5671.908267851621
yuvana_evleri,5,32896.398,38670.10062229824,5773.70262229824
kw_arven_den_ted_kolejine_komsu_havuzlu,1,30937.5,36813.97335803558,5876.473358035582
yaylacik_mh_de_havuzlu,1,46333.33,52331.59803774118,5998.268037741182
altin_vadi,2,30801.08,37162.2840212718,6361.204021271804
elitium_trio,3,37121.21333333333,43588.109902183875,6466.8965688505405
terasta_life,1,36363.64,42934.67981808554,6571.039818085541
rose_garden,1,36363.64,43013.0253034895,6649.3853034895
tanta_emlak_tan,1,30357.14,37380.709204742525,7023.5692047425255
ust_deniz_manzarali_asansorlu,1,32379.31,39862.363974926746,7483.053974926745
akasya_modern,1,28250.0,36168.509049433436,7918.509049433436
yesilyurt_mahallesin_de,1,32708.33,40629.49973439009,7921.169734390089
naturapark,1,25294.12,33694.426493657236,8400.306493657237
kullar_tepecik_mah,1,30937.5,39403.72298847433,8466.222988474328
asansorlu_butik,1,39600.0,48165.09095266943,8565.09095266943
yuvacik_doga,1,32333.33,41061.19883338713,8727.868833387125
ust_park_atakent,1,37241.38,46012.37275433443,8770.992754334431
barbaros_mah,1,30962.34,39999.07162368017,9036.731623680167
may_city,1,33148.15,45390.16100004646,12242.011000046456
invest_globalden_zeray_kent,1,33333.33,46048.94715810836,12715.617158108362
mehmet_akif_ersoy,1,22500.0,38058.333711880696,15558.333711880696
