model,mape,mae_tl_per_m2,median_ae_tl_per_m2,r2,log_r2
ensemble_grid_best_r2_v6_rental,0.13739643985530967,5126.7838496137165,4015.8064586217806,0.7111000394437679,0.7235759902557406
ensemble_hgb_gb_et_v6_rental,0.13826017492192125,5135.9586945773735,4067.056890597618,0.7101754332593766,0.7207623869960899
ensemble_gb_hgb_v6_rental,0.13835688935845003,5153.2630647515225,4036.4600422297954,0.7079591739087463,0.7198401494476441
gradient_boosting_tuned_r2_v6_rental,0.13956918807245225,5205.233747508316,4107.946805223546,0.7033476282741858,0.7154822572936971
ensemble_hgb_et_rf_v6_rental,0.1406694756274407,5208.166459022515,4148.432193133802,0.7001325592053684,0.7102833717424784
gradient_boosting_v6_rental,0.14041317360876282,5258.166522773919,4067.0209183874213,0.6972957217883385,0.7115227674882381
hist_gradient_boosting_v6_rental,0.1405320519302892,5237.88424533794,4119.841106877742,0.6970457001047695,0.7097270984366919
catboost_manual_v6_rental,0.14155722593954834,5280.511228017113,4079.827797562677,0.6958993865135894,0.7102170755814053
ridge_v6_rental,0.14304212212481426,5357.0304225218215,4149.151606341584,0.6861809008650555,0.7013464972699783
random_forest_v6_rental,0.14491697812683785,5374.042655297134,4300.152556365771,0.6780347696718068,0.6900137188445998
elasticnet_v6_rental,0.1459636382970784,5471.381684737008,4381.238772097353,0.6776057918522747,0.6926379058611378
extra_trees_v6_rental,0.14822641991675614,5448.689160915984,4193.341182904194,0.6667990939297557,0.676580903072466
