decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,33104.611926786296,5317.452717746747
1,174,31543.124942528735,34760.17902746954,3217.054084940804
2,176,33617.061534090906,36112.215677145075,2495.1541430541697
3,174,35227.52902298851,36644.18634710055,1416.6573241120461
4,176,36766.70914772727,37595.99057282659,829.281425099312
5,175,38721.52542857143,38617.06661220116,-104.45881637026106
6,175,41049.114285714284,39812.63080935144,-1236.4834763628542
7,175,43378.922857142854,41144.9698854117,-2233.9529717311543
8,175,46825.67697142858,43314.86925857818,-3510.807712850392
9,176,55005.39056818183,45417.12030769984,-9588.270260481975
