duplex_type,n,median,mean
garden,118,237.8,251.14542372881357
middle_floor,3,233.33,240.27666666666667
none,2933,235.29,248.14854756222297
roof,309,236.36,244.86446601941745
standard,162,230.77,244.99061728395063
