split,detail_duplex_count,title_duplex_count,detail_and_title_duplex_count,title_only_duplex_count,detail_only_duplex_count,conflict_count,roof_duplex_count,garden_duplex_count,middle_floor_duplex_count,generic_duplex_count
sale,1947,1900,1285,555,602,60,1333,555,25,589
rental,502,380,279,90,212,11,309,118,3,162
