m2_group,n,mape,mae
200+,23,0.23829428141974154,8795.854044029938
126-150,65,0.17375392864229097,5904.129396948352
101-125,89,0.1491930039913438,5455.169967103745
76-100,83,0.14659918580392867,5739.758793621081
151-200,45,0.1451973562091609,6534.307227939267
0-75,23,0.14023599912777318,7386.0400461951085
