district,building_age_group,m2_group,n,mape,mae
Kayacık Mh.,0 (Oturuma Hazır),0-75,6,0.10335006014706982,4934.17134543924
Kayacık Mh.,0 (Oturuma Hazır),76-100,5,0.09797154195724593,4942.10956196219
4 Temmuz Mah.,26-30 arası,101-125,5,0.09603052438921782,3279.333999700864
Kayacık Mh.,11-15 arası,76-100,4,0.09592381694299035,3735.2292842988154
Kayacık Mh.,5,76-100,1,0.09549521039208828,4156.8501661934715
4 Temmuz Mah.,11-15 arası,151-200,6,0.09526441820162725,3790.0264981278983
Kayacık Mh.,0 (Yapım Aşamasında),101-125,4,0.09002506112897232,4133.601326022754
4 Temmuz Mah.,0 (Oturuma Hazır),101-125,7,0.08683619746154823,4515.614624387119
Kayacık Mh.,6-10 arası,151-200,4,0.0834978634809796,5447.118350840103
Ereğli Mh.,16-20 arası,126-150,1,0.08218805694401847,2939.803512083694
Ereğli Mh.,0 (Yapım Aşamasında),76-100,5,0.08204720542744767,4282.856160145167
Dereköy Mh.,6-10 arası,151-200,1,0.08131974160247538,2605.880548084915
4 Temmuz Mah.,0 (Yapım Aşamasında),76-100,2,0.0803739459519183,4319.198868942232
Kayacık Mh.,0 (Oturuma Hazır),151-200,4,0.07802401873345473,5966.51680704578
Ereğli Mh.,0 (Oturuma Hazır),76-100,6,0.07587112194990216,3728.5852445537093
4 Temmuz Mah.,2,76-100,1,0.07581142437942062,2948.2221434346066
Ereğli Mh.,26-30 arası,76-100,2,0.07447190643942248,3421.1494729072947
Tepeköy Mh.,0 (Oturuma Hazır),76-100,2,0.07135576003017913,2924.093007169984
Kayacık Mh.,4,76-100,1,0.06142810668993067,2809.2123609929695
Ereğli Mh.,11-15 arası,101-125,1,0.06021723542659765,2625.4714645996573
Ereğli Mh.,1,126-150,1,0.05673289982922474,2231.4938708398404
4 Temmuz Mah.,0 (Yapım Aşamasında),0-75,2,0.055402799588217436,2770.1393870731445
4 Temmuz Mah.,26-30 arası,151-200,2,0.053840938102573316,1590.2176755673263
