segment,rows,r2,mape
duplex,2490,0.468133792595097,0.11798180782573592
non_duplex,4177,0.6866105552018239,0.12126195184132202
roof,1324,0.46078299961487557,0.11537958863767253
garden,554,0.5050909425837191,0.12381726356343391
middle_floor,25,0.16172322274738615,0.12495496373335124
standard,587,0.44587645482309113,0.11804682797670836
