experiment,site_extraction_mode,site_project_encoding,duplex_feature_mode,rows,r2,mape,variance_ratio,large_home_r2,expensive_decile_bias,basiskele_r2,izmit_r2,golcuk_r2,karamursel_r2,basiskele_mape,merge_audit_severe_warnings,leakage_pass,selected,notes
control_v17_or_v21_like_global,none,none,none,6667,0.6355303940198862,0.12012936749595975,0.6147205314789795,0.5359730910764502,-9169.124467241869,0.4862605571949984,0.6625129410605489,0.6609125400563349,0.5774965050458485,0.10539366093245513,0,True,False,
site_frequency_global,dict,frequency,none,6667,0.63654927306385,0.11997876677068198,0.6149557539595278,0.5373979476182891,-9153.522653011023,0.4944325581374862,0.6617003635259086,0.6615646554893939,0.5769045053446381,0.10463881283837974,6,True,False,severe_possible_bad_merge=6
site_foldsafe_global,dict,foldsafe_target,none,6667,0.6368240649200259,0.11989046692738688,0.6148986469798269,0.5375289940536302,-9148.815820286769,0.49549978431825525,0.6620295813843785,0.6618809159193877,0.5771552021051414,0.10450351364508438,6,True,False,severe_possible_bad_merge=6
duplex_largehome_global,none,none,full,6667,0.6358656162289547,0.12003687930512741,0.6184810005227497,0.5348295631065814,-9102.864275998192,0.48961528851390135,0.6633843128240349,0.657070542679931,0.5768160507548209,0.10512849603338127,0,True,True,selected vs control_v17_or_v21_like_global (global R2/MAPE + Başiskele stability + leakage/merge gates)
site_plus_duplex_global,dict,foldsafe_target,full,6667,0.6389006260321894,0.11966370105374777,0.6173580392721767,0.5410787416920141,-9077.041685834323,0.5024662039850105,0.6635081270412193,0.6623469554122414,0.577907272465622,0.10394997660316582,6,True,False,severe_possible_bad_merge=6
full_v24,full,foldsafe_target,full,6667,0.6391569030147077,0.11960322559212397,0.6172235617691133,0.5404417173303758,-9073.702330247866,0.5023943451615305,0.663608633458139,0.6635865298866002,0.5790827502359911,0.10400439526958317,6,True,False,severe_possible_bad_merge=6
