experiment,expensive_decile_bias,r2,mape,selected
control_v17_or_v21_like_global,-9169.124467241869,0.6355303940198862,0.12012936749595975,False
site_frequency_global,-9153.522653011023,0.63654927306385,0.11997876677068198,False
site_foldsafe_global,-9148.815820286769,0.6368240649200259,0.11989046692738688,False
duplex_largehome_global,-9102.864275998192,0.6358656162289547,0.12003687930512741,True
site_plus_duplex_global,-9077.041685834323,0.6389006260321894,0.11966370105374777,False
full_v24,-9073.702330247866,0.6391569030147077,0.11960322559212397,False
