m2_group,n,mape,mae
151-200,11,0.21239045938543163,8846.222756632293
0-75,15,0.1759628544692201,9224.15320302351
126-150,42,0.17025093749456663,5096.063700170937
101-125,67,0.1573306207277475,5807.798480407954
76-100,69,0.15650326677964072,6097.946504736779
200+,1,0.14006549562878948,5048.194371839272
