county,model,feature,importance
Başiskele,extra_trees,num__is_small_flat,0.0032488375176414007
Başiskele,extra_trees,num__building_age,0.003215594234734626
Başiskele,extra_trees,num__bearing_from_county_centroid_cos,0.0031613102153517166
Başiskele,extra_trees,num__floor_num,0.0031527050160221753
Başiskele,extra_trees,num__attr_new_building_x_site_inside,0.003139567793321171
Başiskele,extra_trees,num__attr_is_middle_floor,0.0030744743209153154
Başiskele,extra_trees,num__is_new_building,0.003063709242301775
Başiskele,extra_trees,num__lat_centered_county,0.003040773412247895
Başiskele,extra_trees,num__location_baseline_log,0.0030208897418946053
Başiskele,extra_trees,num__bearing_from_district_centroid_sin,0.002980772752687645
Başiskele,extra_trees,num__remaining_floors,0.002969035640465526
Başiskele,extra_trees,cat__detail_konut_tipi_Ara Kat,0.002958242192062412
Başiskele,extra_trees,num__distance_to_coast_x_large_home,0.002936934569340265
Başiskele,extra_trees,num__attr_compact_home_x_quality,0.0029310880471511637
Başiskele,extra_trees,cat__m2_group_0-75,0.002919099392016427
Başiskele,extra_trees,num__basiskele_district_premium_bucket_median,0.002918033853615154
Başiskele,extra_trees,cat__geo_cluster_city_city_1,0.002914623450350622
Başiskele,extra_trees,num__location_baseline_m2,0.002896411886538706
Başiskele,extra_trees,num__basiskele_detail_outside_premium_signal,0.0028715042688613056
Başiskele,extra_trees,num__attr_quality_x_demo_income,0.0028372939203121037
Başiskele,extra_trees,num__district_room_rent_m2_count,0.002798945834324576
Başiskele,extra_trees,num__large_home_log_m2,0.002790474157247743
Başiskele,extra_trees,cat__room_count_3+1,0.002738577366321207
Başiskele,extra_trees,cat__building_age_group_5,0.002729789092555383
Başiskele,extra_trees,num__bsk_distance_to_sea_x_view_sea,0.002718549861693674
Başiskele,extra_trees,num__detail_effect_inside_x_attr_quality,0.0026810717821950866
Başiskele,extra_trees,cat__kitchen_Açık (Amerikan),0.0026779983055706296
Başiskele,extra_trees,cat__kitchen_Kapalı,0.0026289692512561445
Başiskele,extra_trees,num__detail_effect_level_code,0.0026096242914451957
Başiskele,extra_trees,num__basiskele_detail_inside_premium_signal,0.002600809291513691
Başiskele,extra_trees,num__district_m2_group_rent_m2_count,0.0025972511317678554
Başiskele,extra_trees,cat__detail_cephe_Batı|Doğu,0.0025931881176814117
Başiskele,extra_trees,num__lat_centered_city,0.0025929398901899663
Başiskele,extra_trees,num__detail_effect_inside_sum,0.002565688447039919
Başiskele,extra_trees,num__basiskele_premium_score,0.0025649617692399913
Başiskele,extra_trees,cat__detail_manzara_Şehir,0.00255936906886715
Başiskele,extra_trees,num__attr_building_age_score,0.002559333098157238
Başiskele,extra_trees,num__detail_effect_negative_count,0.0025565991183392955
Başiskele,extra_trees,num__location_baseline_count,0.002547072704456648
Başiskele,extra_trees,cat__detail_cephe_Batı|Doğu|Kuzey,0.0024936877134221188
Başiskele,extra_trees,num__lat,0.0024799389675323365
Başiskele,extra_trees,num__attr_net_gross_bad,0.0024706854726276616
Başiskele,extra_trees,num__basiskele_lat_lon_interaction,0.0024706376928941755
Başiskele,extra_trees,num__basiskele_has_pool_signal,0.00246211391359107
Başiskele,extra_trees,num__distance_to_yuvacik_m,0.0024305823065909797
Başiskele,extra_trees,num__attr_building_age_inverse,0.0024126629936146384
Başiskele,extra_trees,cat__detail_konut_tipi_En Üst Kat,0.0024117795751611862
Başiskele,extra_trees,num__floor_ratio,0.002398035590479546
Başiskele,extra_trees,num__distance_to_county_centroid_m,0.0023861771090550542
Başiskele,extra_trees,num__distance_to_coast_x_view_sea,0.0023738065395216947
Başiskele,extra_trees,cat__heating_Kombi (Doğalgaz),0.0023718643716974623
Başiskele,extra_trees,num__distance_to_district_centroid_m,0.002365495502408125
Başiskele,extra_trees,num__attr_floor_ratio,0.0023643589348095466
Başiskele,extra_trees,num__distance_to_izmit_center_m,0.0023551790614872205
Başiskele,extra_trees,num__transport_score,0.002354209659906233
Başiskele,extra_trees,num__attr_is_old_building,0.002349113087375095
Başiskele,extra_trees,num__detail_near_count,0.002303490456272206
Başiskele,extra_trees,num__district_m2_group_rent_m2_median,0.002284464787215549
Başiskele,extra_trees,cat__detail_konut_tipi_missing,0.002275538170045199
Başiskele,extra_trees,num__distance_to_bahcecik_m,0.0022579054088482597
Başiskele,extra_trees,cat__m2_group_101-125,0.0022287023788350436
Başiskele,extra_trees,num__large_home_net_gross_quality,0.002197644324962663
Başiskele,extra_trees,num__basiskele_has_inside_luxury_signal,0.002190359961155454
Başiskele,extra_trees,num__location_baseline_vs_trend,0.002180633723619485
Başiskele,extra_trees,num__estimated_rent_m2_gross,0.0021781447071945524
Başiskele,extra_trees,num__detail_effect_total_abs_sum,0.0021496085607186485
Başiskele,extra_trees,num__accessibility_score,0.0021436319428636123
Başiskele,extra_trees,num__basiskele_premium_x_detail_view,0.0021229556261444585
Başiskele,extra_trees,num__detail_effect_transport_sum,0.0021195977435313003
Başiskele,extra_trees,num__detail_front_count,0.0020969322273620486
Başiskele,extra_trees,num__detail_effect_transport_mean,0.0020962845515513436
Başiskele,extra_trees,cat__heating_Yerden Isıtma,0.00209237850704694
Başiskele,extra_trees,num__distance_to_kullar_m,0.002065352356016608
Başiskele,extra_trees,num__nearby_score,0.0020497502220833807
Başiskele,extra_trees,num__front_score,0.0020445384664344226
Başiskele,extra_trees,num__distance_to_basiskele_coast_m,0.002024332023318242
Başiskele,extra_trees,cat__detail_cephe_missing,0.001996518105505273
Başiskele,extra_trees,cat__geo_cluster_x_room_count_city_6||3+1,0.001971389989615667
Başiskele,extra_trees,cat__usage_status_Kiracılı,0.00196834955368941
Başiskele,extra_trees,num__basiskele_district_premium_bucket_count,0.0019555279209472437
Başiskele,extra_trees,num__is_large_flat,0.0019538947545990606
Başiskele,extra_trees,num__attr_floor_quality_score,0.001949179708689919
Başiskele,extra_trees,num__demo_summer_house_count,0.001937857884217978
Başiskele,extra_trees,num__basiskele_detail_view_premium_signal,0.0019328777377661463
Başiskele,extra_trees,num__distance_to_geo_cluster_center_m,0.0019123776706953459
Başiskele,extra_trees,num__distance_to_sahil_m,0.0018979264937232611
Başiskele,extra_trees,num__attr_large_home_x_quality,0.0018847070465385356
Başiskele,extra_trees,num__basiskele_premium_x_site_inside,0.0018637456281583346
Başiskele,extra_trees,num__detail_effect_view_mean,0.0018446625270220594
Başiskele,extra_trees,num__detail_outside_count,0.0018432332673317096
Başiskele,extra_trees,cat__floor_segment_Bahçe,0.0018394954192560823
Başiskele,extra_trees,cat__detail_manzara_Doğa|Park & Yeşil Alan,0.0018368013244173674
Başiskele,extra_trees,num__detail_transport_count,0.001828916695913759
Başiskele,extra_trees,num__large_home_quality_x_m2,0.001814828695891821
Başiskele,extra_trees,num__large_home_room_density,0.0018129664065804295
Başiskele,extra_trees,cat__demo_dominant_age_group_40-44,0.0018119993070712065
