district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sanayi Mah.,4,0.13211366251337783,0.10119328437889896,4501.0472431249,4984.008891667256,38680.715,40989.87560522823
Kavaklı Mh.,31,0.1317391958158484,0.1048071594891482,3143.143763421381,2524.9055655603406,24584.617741935486,23924.71532748924
Ereğli Mh.,20,0.12887529362608113,0.10474567552209596,6144.070709995122,5509.44427662063,48264.06,47022.639205174986
Erenler Mah.,39,0.12880187864367632,0.11589028762504756,4248.430623889862,3173.7679733001205,32763.243846153848,32678.42842928418
Yeşilova Mh.,66,0.12773164889541078,0.11634061491481368,6891.590119680402,5375.779258952862,52054.823333333334,51732.428580472566
Topçular Mh.,76,0.126696621307403,0.09398079290157887,5901.9212968547645,4580.855920528971,47461.20605263158,47130.43732911806
Kabaoğlu Mh.,24,0.12600792578964473,0.12695641477061054,6434.471722833058,6388.491341380144,50907.47083333333,50589.24745604343
Yahyakaptan Mah.,39,0.1251694028948585,0.12335539165294601,7680.4291847669165,6653.240080349329,59367.822564102564,58547.703324769565
Akpınar Mh.,41,0.1235188835249102,0.08474260244074083,4681.375870448896,3638.4279287793106,37527.52048780488,37232.42891491886
28 Haziran Mah.,40,0.12327575572925893,0.09296712533999986,4850.223719802348,3634.752642052019,39291.9075,38892.859287711246
Alikahya Atatürk Mh.,58,0.11957208481710015,0.10787853132098299,5705.055718553873,5231.213598027425,48113.136379310345,48173.78497471402
Serdar Mah.,66,0.11900914430068996,0.10009757260425006,4624.239703026434,3723.8417105846056,37678.08772727273,36734.36265098839
Mahmutpaşa Mh.,26,0.11843449707997557,0.12468319199010675,5062.891303369577,5929.928567300667,43813.14692307693,44442.18573125378
Çiftlik Mh.,35,0.11728208695446493,0.11025647993794394,4396.878324617781,3154.3711789623376,36588.97342857143,35801.80033670611
Kullar Yakacık Mh.,24,0.1164233951141383,0.09623502680429304,4614.248648884219,3818.3568916173135,39630.2175,39546.31182126857
Yazlık Merkez Mh.,23,0.11613159265403315,0.07696728117050462,4104.85609623972,3201.4714285187874,37055.36521739131,37021.425378594955
Kuruçeşme Fatih Mh.,14,0.11440555445524694,0.09744356933578963,4392.011316464537,3800.8937074589885,36315.25642857143,35765.5240402622
Yeni Mah.,66,0.11437356119941308,0.09948704123545804,3716.0607127190247,3320.549761849352,32824.91696969697,32346.549335023214
Orhan Mah.,53,0.11395621724885309,0.09480654815172238,5305.077527452262,4591.970240319082,48978.31867924528,49183.65573819829
Barbaros Mah.,108,0.1133773906267853,0.08921394152806694,4725.639290711691,4000.9323350191553,41193.614074074074,40752.40953735259
Kullar Tepecik Mh.,11,0.11309309440649193,0.08018679726441322,4363.389232114122,2470.750533296261,38974.27636363636,37941.94155938152
Ulaşlı Yavuz Sultan Selim Mh.,5,0.1128265383922056,0.04841588432402277,2747.732902274013,1361.413437045936,26801.768,28370.110941189574
