experiment,location_scope,location_feature_mode,geo_context_mode,global_r2,global_mape,basiskele_r2,basiskele_mape,basiskele_variance_ratio,basiskele_large_home_r2,golcuk_r2,karamursel_r2,izmit_r2,rows,basiskele_rows,selected,notes
control_v16_like,basiskele_only,none,none,0.6899546788802575,0.12627874273656706,0.4731247632178377,0.11023298840492797,0.43318021331307416,,0.6756233565885794,0.61549428992525,0.7130169059921698,3104,919,False,
basiskele_basic,basiskele_only,basic,none,0.6896015537327872,0.12672710083979852,0.479441566447805,0.1095547162629339,0.4323009903217945,,0.6702164583071089,0.6136785061051,0.7121839353976086,3104,919,False,
basiskele_geo,basiskele_only,geo,geo_no_poi,0.6887778105139066,0.12702066789628164,0.48413248983128765,0.1091602228478148,0.4351495471129754,,0.6678277370813208,0.6075693908558835,0.7108324537987483,3104,919,False,
basiskele_geo_context,basiskele_only,geo,geo_with_coast,0.6888282987651515,0.12706866510168197,0.483426974660913,0.10936049990506336,0.4346256142264878,,0.667621639981864,0.6088426119567826,0.7109878551916231,3104,919,True,selected vs control_v16_like guardrails
global_geo,global,geo,geo_with_coast,0.6878270159806473,0.12707792809170554,0.48357097369978663,0.10919466068352306,0.4341321940971794,,0.6670768950527837,0.6059828253227728,0.7096394367523303,3104,919,False,
