decile,n,mean_actual,mean_pred,mean_bias
0,92,29023.717391304344,34270.38187946658,5246.664488162235
1,92,32824.06108695653,36667.862657423124,3843.8015704665954
2,92,34935.69913043478,37418.45996730181,2482.7608368670262
3,91,36754.38703296703,39340.94494685362,2586.5579138865824
4,93,38676.642580645166,39554.61438656249,877.9718059173326
5,92,40924.07532608696,40772.76216725906,-151.31315882789437
6,90,43068.615666666665,41818.93428888909,-1249.6813777775735
7,93,45687.261612903225,43079.68731835674,-2607.574294546486
8,91,49253.32505494507,44336.73488979823,-4916.5901651468275
9,92,57384.89217391305,46737.0152213419,-10647.876952571149
