district,n,mape,mae
Yalakdere Mh.,1,0.31429219484202636,17571.790607720388
Avcıköy Mh.,1,0.31361037450008156,16028.974348214862
Tepeköy Mh.,2,0.216992415341495,6357.89111388044
Dereköy Mh.,8,0.17498877097188573,5203.099447110373
Kayacık Mh.,70,0.17359616472247208,7281.6666320844215
4 Temmuz Mah.,103,0.16210399400906111,5435.519139964955
Ereğli Mh.,20,0.134157513325156,6588.626192092799
