county,model,feature,importance
Başiskele,extra_trees,num__basiskele_detail_group_bucket_median,0.07908409810729573
Başiskele,extra_trees,num__district_m2_group_target_median,0.07204773684561454
Başiskele,extra_trees,num__attr_total_quality_score,0.02871034106876246
Başiskele,extra_trees,num__attr_quality_x_county_income,0.021839406368648794
Başiskele,extra_trees,cat__elevator_Var,0.021659805181810418
Başiskele,extra_trees,num__attr_effect_elevator,0.019848079616800688
Başiskele,extra_trees,num__attr_effect_total_quality_bucket,0.01715880285108017
Başiskele,extra_trees,num__attr_has_elevator,0.016084989605827042
Başiskele,extra_trees,num__attr_m2_per_room,0.012958858582907674
Başiskele,extra_trees,num__detail_effect_subtype_mean,0.011104936673046599
Başiskele,extra_trees,cat__elevator_Yok,0.010926654191525931
Başiskele,extra_trees,num__basiskele_detail_subtype_premium_signal,0.010353446889436554
Başiskele,extra_trees,num__detail_effect_total_x_attr_quality,0.009513780455470305
Başiskele,extra_trees,num__estimated_monthly_rent_gross,0.009219683387929377
Başiskele,extra_trees,num__detail_effect_subtype_sum,0.009025730309959524
Başiskele,extra_trees,num__district_room_count_target_median,0.008619787661483908
Başiskele,extra_trees,num__detail_effect_total_sum,0.008432475417339574
Başiskele,extra_trees,num__attr_compactness_score,0.00824848906005573
Başiskele,extra_trees,num__gross_m2,0.0077939066718093536
Başiskele,extra_trees,num__attr_quality_x_location_baseline,0.007531140988329849
Başiskele,extra_trees,num__net_m2,0.007212757641794473
Başiskele,extra_trees,cat__usage_status_Mülk Sahibi,0.00688940091559385
Başiskele,extra_trees,num__total_floors,0.006822229875401703
Başiskele,extra_trees,cat__floor_segment_Zemin/Giriş,0.006463366952017395
Başiskele,extra_trees,num__detail_effect_county_total_sum,0.006447479739227236
Başiskele,extra_trees,num__location_baseline_level_code,0.0061391095095512
Başiskele,extra_trees,num__detail_effect_total_mean,0.006116626574076225
Başiskele,extra_trees,num__dues,0.005900969432427017
Başiskele,extra_trees,num__basiskele_district_premium_bucket_mean,0.00583888994236285
Başiskele,extra_trees,num__detail_effect_outside_x_attr_quality,0.005809260403592126
Başiskele,extra_trees,num__basiskele_detail_total_premium_signal,0.0058081943281177864
Başiskele,extra_trees,num__attr_net_gross_ratio,0.005730647801621727
Başiskele,extra_trees,num__net_gross_ratio,0.005640333656825797
Başiskele,extra_trees,num__bathroom_count,0.0055986316820618555
Başiskele,extra_trees,num__detail_effect_front_mean,0.005373265997238517
Başiskele,extra_trees,num__basiskele_premium_x_location_baseline,0.005057103158124385
Başiskele,extra_trees,num__location_baseline_log,0.00493627811101043
Başiskele,extra_trees,num__detail_effect_outside_sum,0.004925865441250142
Başiskele,extra_trees,num__detail_effect_outside_mean,0.004924840932098817
Başiskele,extra_trees,num__basiskele_premium_x_gross_m2,0.004744071190659095
Başiskele,extra_trees,cat__room_count_3+1,0.004687785682614384
Başiskele,extra_trees,num__basiskele_premium_score,0.004650091275305679
Başiskele,extra_trees,num__detail_effect_front_sum,0.004608013973559198
Başiskele,extra_trees,num__attr_net_gross_good,0.004506446336299633
Başiskele,extra_trees,num__detail_effect_district_total_sum,0.00445068434122951
Başiskele,extra_trees,num__floor_num,0.004440211452790191
Başiskele,extra_trees,cat__m2_group_126-150,0.004433002941302382
Başiskele,extra_trees,num__location_baseline_m2,0.004419578301346654
Başiskele,extra_trees,num__detail_effect_inside_x_attr_quality,0.004097343365607115
Başiskele,extra_trees,cat__detail_cephe_Batı|Doğu,0.004040402331493047
Başiskele,extra_trees,num__detail_effect_inside_mean,0.004033554282043676
Başiskele,extra_trees,cat__m2_group_0-75,0.003941430996414853
Başiskele,extra_trees,num__attr_new_building_x_site_inside,0.003895781144316454
Başiskele,extra_trees,num__detail_effect_inside_sum,0.003886656383418345
Başiskele,extra_trees,num__attr_quality_x_demo_income,0.0038597652548753203
Başiskele,extra_trees,num__location_baseline_vs_trend,0.0038356104333817738
Başiskele,extra_trees,cat__building_age_group_0 (Oturuma Hazır),0.0038199068071516195
Başiskele,extra_trees,num__demo_education_doctorate_ratio,0.0038145810641413286
Başiskele,extra_trees,num__remaining_floors,0.003793269765583138
Başiskele,extra_trees,num__district_room_rent_m2_count,0.003726202975178972
Başiskele,extra_trees,num__district_m2_group_rent_m2_median,0.003690685737662315
Başiskele,extra_trees,cat__heating_Kombi (Doğalgaz),0.0036142791648734666
Başiskele,extra_trees,num__detail_effect_level_code,0.0035920923285733394
Başiskele,extra_trees,num__district_m2_group_rent_m2_count,0.003574729335311238
Başiskele,extra_trees,num__is_small_flat,0.0035668603522279467
Başiskele,extra_trees,num__basiskele_detail_inside_premium_signal,0.0034685570059766707
Başiskele,extra_trees,num__location_baseline_count,0.003465221969185662
Başiskele,extra_trees,num__attr_compact_home_x_quality,0.0034124345664667223
Başiskele,extra_trees,cat__kitchen_Kapalı,0.0034087797372551417
Başiskele,extra_trees,cat__detail_konut_tipi_missing,0.0033863549453958396
Başiskele,extra_trees,num__attr_net_gross_bad,0.0033798184325428285
Başiskele,extra_trees,cat__parking_Açık Otopark,0.0033725091462551036
Başiskele,extra_trees,cat__m2_group_151-200,0.0032977735891266784
Başiskele,extra_trees,num__detail_front_count,0.003290421881992559
Başiskele,extra_trees,num__nearby_score,0.0032698712403390643
Başiskele,extra_trees,num__is_new_building,0.0032588357490877192
Başiskele,extra_trees,cat__usage_status_Boş,0.0032301575813987312
Başiskele,extra_trees,cat__detail_konut_tipi_Ara Kat,0.003175708135068607
Başiskele,extra_trees,num__floor_ratio,0.003160739650942932
Başiskele,extra_trees,num__detail_near_count,0.003154182101856362
Başiskele,extra_trees,cat__detail_cephe_Batı|Doğu|Kuzey,0.0031541695573194923
Başiskele,extra_trees,num__attr_floor_ratio,0.003131087927286366
Başiskele,extra_trees,num__basiskele_premium_x_detail_view,0.00312492821695961
Başiskele,extra_trees,cat__kitchen_Açık (Amerikan),0.00312168890435777
Başiskele,extra_trees,cat__detail_cephe_Batı|Doğu|Güney,0.003116991748494186
Başiskele,extra_trees,num__basiskele_district_premium_bucket_median,0.003084190754211072
Başiskele,extra_trees,num__detail_effect_negative_count,0.00306414037794814
Başiskele,extra_trees,cat__heating_Yerden Isıtma,0.003063024409366843
Başiskele,extra_trees,cat__detail_cephe_missing,0.0029992296205721314
Başiskele,extra_trees,num__basiskele_has_inside_luxury_signal,0.0028962383111647678
Başiskele,extra_trees,cat__building_age_group_6-10 arası,0.0028582114939937997
Başiskele,extra_trees,num__front_score,0.002856500283798566
Başiskele,extra_trees,num__attr_is_middle_floor,0.0028491780007479546
Başiskele,extra_trees,num__detail_effect_view_sum,0.0028439371966276134
Başiskele,extra_trees,num__inside_quality_score,0.0028392503407447547
Başiskele,extra_trees,num__basiskele_premium_x_detail_outside,0.002837256371040145
Başiskele,extra_trees,num__accessibility_score,0.002835887816274205
Başiskele,extra_trees,num__basiskele_has_social_luxury_signal,0.0027719408841119105
Başiskele,extra_trees,num__building_age,0.0027486734480570547
Başiskele,extra_trees,num__detail_effect_total_abs_sum,0.0027327905605713026
Başiskele,extra_trees,num__detail_effect_view_x_location_baseline,0.0027154181726376085
Başiskele,extra_trees,num__detail_quality_score,0.0027025395153293876
Başiskele,extra_trees,num__estimated_rent_m2_gross,0.0026909125439355122
Başiskele,extra_trees,num__basiskele_district_premium_bucket_count,0.002628066498013874
Başiskele,extra_trees,num__transport_score,0.0026202761025229462
Başiskele,extra_trees,num__detail_effect_nearby_mean,0.002618207955264003
Başiskele,extra_trees,num__attr_building_age_inverse,0.002613783973155906
Başiskele,extra_trees,num__detail_effect_positive_count,0.0026116372510579413
Başiskele,extra_trees,num__detail_transport_count,0.002586717258475049
