rows,r2,log_r2,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,model
919,0.4585947205371005,0.4657221641174323,0.11136560935348348,0.09080799759268855,4604.4979937389135,3568.351668963136,gradient_boosting
919,0.4328915287684868,0.4462594365674236,0.11261517526555216,0.08825617560824732,4660.945317106039,3512.15340283345,extra_trees
919,0.4286507317770212,0.4101673609262513,0.11544905491378014,0.08552918374885586,4689.413987719301,3486.7402381968423,ridge
919,0.3919308723496515,0.4000068660277457,0.11700113263525327,0.09267226819443902,4836.9756007367805,3752.15204897317,random_forest
