site_project_name_normalized,n_listings,known_premium,mean_premium_score
missing,608,0,1.6282894736842106
other,127,1,2.5511811023622046
zeray gunesi,17,1,5.117647058823529
bahcekent konutlari,14,0,1.1428571428571428
royal city akkurt,9,0,3.888888888888889
evimiz,9,1,3.4444444444444446
zeray perla,8,1,5.25
kirazli kent sitesi,8,0,1.0
orka life sitesi,8,0,4.25
yakamoz konutlari,8,0,0.875
evimiz sitesi,7,0,1.5714285714285714
panoramakent,7,1,5.0
royal country,7,0,2.5714285714285716
mamik reform,6,0,3.1666666666666665
zeraykent yuvacik,5,0,2.8
ustpark afraze,5,0,5.8
alizepark city,5,1,6.0
sembol kent sitesi,5,0,3.4
yuvana evleri,5,0,3.4
zeray korupark,5,1,5.4
akademik elit park,4,0,3.75
esila park sitesi,4,0,2.75
altinkent kalici konutlari ada,4,0,0.75
mamik life,4,1,6.25
manar yuvacik,4,0,2.75
yuvacik kalici konutlari ada,4,0,1.5
ustgrup mezire,4,1,6.0
ritim vadi evleri,4,0,3.75
elitium trio sitesi,3,0,3.0
marmara elit evleri sitesi,3,0,1.0
parla . yil sitesi,3,0,2.3333333333333335
teras marmara,3,0,2.3333333333333335
royal life,2,1,5.0
